GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",6636881,7268635,7840175,8874824,10019419,11328476,12763654,14533896,16687152,19434975,22419698,25861219,29498713,31303477,33748741,37900312,41259710,44494951,48259164,52814807,56878330,60264357,62297569,65961473,67381872,69577422,73434653,78878757,85557767,92871623,98909248,108747388,112986188,115662758,122349748,130117352,139108980,149467494,150311550,147943088,139816905,150142961,157105840,170496109,170061957,178946153,193081245,200026649,208949975,220684684
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",6613480,7243166,7812819,8842192,9980467,11275858,12715749,14482493,16631115,19381153,22346033,25753645,29422066,31215525,33643500,37787437,41138305,44365741,48129414,52685947,56760488,60141553,62160266,65852848,67284355,69476010,73315015,78745663,85379217,92687263,98697443,108519898,112816279,115492157,122179671,129956439,138943070,149281477,150161963,147780560,139665997,150032427,157009445,170394957,169969400,178875191,193003573,199972455,208897889,220642605
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",23401,25469,27356,32632,38952,52618,47905,51403,56037,53822,73665,107574,76647,87952,105241,112875,121405,129210,129750,128860,117842,122804,137303,108625,97517,101412,119638,133094,178550,184360,211805,227490,169909,170601,170077,160913,165910,186017,149587,162528,150908,110534,96395,101152,92557,70962,77672,54194,52086,42079
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,20,"...","Population (persons) 3/","Number of persons",1376796,1432621,1484217,1536789,1607146,1669064,1725693,1772685,1812147,1853136,1891962,1948067,2004806,2045925,2088886,2123362,2171930,2228895,2281486,2333101,2383920,2418986,2452691,2497014,2532639,2566599,2603678,2643996,2709277,2773187,2815933,2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,3016559,3050867,3080419,3108009,3130322,3153962,3170707,3179950,3185968
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4821,5074,5282,5775,6234,6787,7396,8199,9208,10488,11850,13275,14714,15300,16156,17849,18997,19963,21153,22637,23859,24913,25400,26416,26605,27109,28204,29833,31580,33489,35125,38097,39157,39771,41766,44232,47315,50973,51272,50021,46806,49773,51495,55348,54717,57165,61219,63086,65709,69268
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",4234674,4595088,4880239,5632049,6462466,7217571,8024937,9398150,11184037,13263770,15421483,17563890,19989731,21092136,22938839,26353068,29212066,32168054,35893847,40323256,42625731,45832226,47007231,50002737,50503756,51938781,54287396,57666950,62708095,69574226,75910730,83129308,87457239,90626279,97773939,105912058,112612954,119780156,118903542,113856529,107654837,114508471,116707232,127230140,129274564,132190293,140332152,145787771,153191438,160226122
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",284032,303092,331081,405836,536805,618108,671023,799388,972401,1187156,1446657,1622466,2008975,2166839,2391132,2850178,3192116,3545926,3943385,4541622,4863235,5183870,5315230,5556401,5611429,5823080,5998632,6200924,6677114,7310976,7938712,8631805,9262720,9678977,10525056,11685012,12380960,12723211,12606986,12537806,11864995,12054447,11175387,11663418,13512237,14097385,14951115,15461864,16129522,16974083
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",145771,155909,169021,202494,265669,308298,336502,388905,468691,560820,689419,764402,965138,1051089,1147714,1343068,1539046,1737767,1969968,2282192,2439915,2608430,2719769,2861852,2900648,3014912,3134055,3245229,3466020,3791547,4121547,4466854,4777345,4979609,5317511,5806900,6203005,6515021,6523095,6572203,6357398,6512640,5338692,5600635,7280331,7531349,7979475,8236720,8583372,9094151
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",138261,147183,162060,203342,271136,309810,334521,410483,503710,626336,757238,858064,1043837,1115750,1243418,1507110,1653070,1808159,1973417,2259430,2423320,2575440,2595461,2694549,2710781,2808168,2864577,2955695,3211094,3519429,3817165,4164951,4485375,4699368,5207545,5878112,6177955,6208190,6083891,5965603,5507597,5541807,5836695,6062783,6231906,6566036,6971640,7225144,7546150,7879932
 "11244","Anaheim-Santa Ana-Irvine, CA (Metropolitan Division)", ,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",1273082,1312721,1399588,1557900,1712097,1905353,2061959,2275322,2491548,2829297,3280040,3657860,3765719,3740054,3783500,3849054,3890530,3911667,3960908,3720488,3640671,3299948,3653057,3720683,4246084,4424520,4682058,5443965,6398055,5669594,5420666,6287269,6041213,5368142,4086197,3113808,1744091,680891,-213476,-1396652,-709581,359630,149204,938615,1054567,521013,1220172,-256329,-1029037,-1040046
