GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "24000","Maryland",2,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",17235920,19167231,21125827,23176397,25560539,27902797,30204127,32906940,35675755,39617165,43545511,48503268,54043012,58610648,62787390,69664857,75502898,81544532,88007606,96739717,104600690,110894044,114898652,120637356,125486122,131410405,137245369,143742306,151791457,163867976,174048020,189505372,199706821,207659132,217235001,232208363,245174207,258473493,269020895,280998145,279384184,289469915,306179571,315230873,314266477,325835823,342074347,354450645,364575802,382828860
 "24000","Maryland",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",17104592,19046829,21033313,23049880,25353385,27740575,30002125,32734828,35549195,39436220,43388469,48448318,53916800,58469919,62700852,69403001,75229309,81260985,87712547,96379964,104240653,110544325,114596396,120302311,125174389,131110816,137039830,143355746,151520141,163551891,173705556,189097931,199299439,207444205,216933721,231773609,244798601,258166462,268726631,280589786,278963824,289101165,305714643,314620368,313498006,325230740,341645997,354088611,364052077,382456959
 "24000","Maryland",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",131328,120402,92514,126517,207154,162222,202002,172112,126560,180945,157042,54950,126212,140729,86538,261856,273589,283547,295059,359753,360037,349719,302256,335045,311733,299589,205539,386560,271316,316085,342464,407441,407382,214927,301280,434754,375606,307031,294264,408359,420360,368750,464928,610505,768471,605083,428350,362034,523725,371901
 "24000","Maryland",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311034,5374691,5440389,5496269,5546935,5592379,5627367,5653408,5684965,5730388,5788642,5838991,5887072,5923704,5958165,5986717,6004692,6024891,6042718
 "24000","Maryland",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4456,4867,5252,5679,6221,6751,7265,7887,8505,9407,10311,11473,12680,13685,14557,15959,17109,18174,19276,20769,22127,23104,23605,24503,25239,26161,27070,28119,29432,31486,33124,35681,37157,38170,39524,41862,43841,45932,47586,49428,48755,50007,52437,53546,53052,54687,57139,59029,60512,63354
 "24000","Maryland",2,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",12256135,13338062,14508419,15963649,17769989,19295472,20460919,22443210,24332176,27131974,29881353,32533936,35799521,37664197,40912869,45641179,50074574,54423947,59550228,65836588,70316471,74511566,76207037,79642529,82842058,86795667,90353516,94282851,100575837,109283695,117257593,127177092,135214123,142350267,149257050,159796048,168326908,176507608,181509543,188434149,189001776,196499733,205948826,212267693,214205522,220087960,231333828,241357836,247103076,256735151
 "24000","Maryland",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",750535,814696,916580,1059767,1354029,1532677,1623792,1807915,1973742,2261688,2611371,2866169,3381335,3616520,4070525,4672487,5284228,5837332,6330824,7214122,7757580,8394635,8670866,9015745,9364300,9915721,10287233,10645148,11306542,11980412,12720933,13591068,14645922,15366456,16068117,17263176,18188886,19379291,20236448,21008973,20984809,21767921,20183227,20764377,23557147,24139196,25383723,25970410,26704917,27864296
 "24000","Maryland",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",365374,395010,441728,502634,646933,733662,775461,841513,913641,1039950,1214707,1349287,1610957,1738617,1940962,2187414,2553038,2836632,3079707,3547383,3862059,4176138,4336656,4490861,4680190,4978261,5207726,5416547,5756170,6118535,6538989,6966470,7518088,7923956,8270351,8721110,9273839,9911276,10441397,10866155,10880911,11071321,8968773,9172757,12108134,12553186,13174139,13574159,14079690,14845536
 "24000","Maryland",2,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",385161,419686,474852,557133,707096,799015,848331,966402,1060101,1221738,1396664,1516882,1770378,1877903,2129563,2485073,2731190,3000700,3251117,3666739,3895521,4218497,4334210,4524884,4684110,4937460,5079507,5228601,5550372,5861877,6181944,6624598,7127834,7442500,7797766,8542066,8915047,9468015,9795051,10142818,10103898,10696600,11214454,11591620,11449013,11586010,12209584,12396251,12625227,13018760
 "24000","Maryland",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",2321171,2716806,3027980,3285098,3484544,3687210,4065356,4359422,4700925,5073972,5400545,5863102,6252540,6771366,7143349,7819796,8422608,9033072,9663423,10708578,11514472,12114807,12659771,13418656,13638707,14035487,14002757,14375749,14307575,15668302,16746842,18990066,19867511,20232671,21098146,22545803,23607394,22949090,23614611,23076564,23232247,23631375,23278352,22940995,22902157,22086945,22838553,22738539,23887600,25989327
 "24000","Maryland",2,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",13826771,15240172,16619819,18188980,19900504,21450005,22902483,24994717,27059359,29944258,32670527,35530869,38670726,40819043,43985693,48788488,53212954,57619687,62882827,69331044,74073363,78231738,80195942,84045440,87116465,90915433,94069040,98013452,103576870,112971585,121283502,132576090,140435712,147216482,154287079,165078675,173745416,180077407,184887706,190501740,191249214,198363187,209043951,214444311,213550532,218035709,228788658,238125965,244285759,254860182
 "24000","Maryland",2,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",2464710,2800735,3132879,3413613,3843672,4347832,4654556,5056832,5574272,6318705,7069613,8437063,10176975,12009041,12498263,14232820,15267398,16430776,17345116,19104242,21481832,22752716,23540872,24077772,25313653,26852957,28874330,30433234,32604951,34608651,35502264,38683326,39394551,39092965,39965466,43134866,45444973,51358803,54779122,57064633,52119165,51912848,56780900,60018496,58500797,62969768,66575204,67202741,70184224,75320035
 "24000","Maryland",2,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",944439,1126324,1373129,1573804,1816363,2104960,2647088,2855391,3042124,3354202,3805371,4535336,5195311,5782564,6303434,6643549,7022546,7494069,7779663,8304431,9045495,9909590,11161838,12514144,13056004,13642015,14301999,15295620,15609636,16287740,17262254,18245956,19876558,21349685,22982456,23994822,25983818,27037283,29354067,33431772,36015805,39193880,40354720,40768066,42215148,44830346,46710485,49121939,50105819,52648643
 "24000","Maryland",2,CAINC4,50,"...","Wages and salaries","Thousands of dollars",9784500,10671181,11497549,12596572,13987002,15278854,16044903,17498686,18916059,21081495,23212875,25403113,27901916,29282985,31684650,35087860,38360504,41700857,45872882,50342066,53867340,57163330,58023493,59907295,62036658,65140754,68006196,71333678,76414142,81897458,87495848,94526490,99865656,104280405,108724489,115067277,121409934,128331306,134318671,137461051,136268113,139248195,144310937,148855819,150129435,155246199,162485405,167321080,173274372,179617382
 "24000","Maryland",2,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",1302697,1467853,1730095,1962827,2204439,2450857,2738317,3048880,3417271,3832494,4322811,4822091,5481945,5946716,6607976,7320923,8087413,8836820,9341813,10259675,11234946,12099997,12540305,13582614,14104016,14697065,14972458,15248853,16224080,17306167,18658695,20095719,21055085,22740758,24284834,26370506,28169612,28874135,30158532,31388467,32872345,34171254,36044544,35940744,37290843,38777556,39995668,41119816,40796680,42562572
 "24000","Maryland",2,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",917536,1048167,1255243,1405694,1497343,1651842,1889986,2082478,2357170,2610756,2926147,3305209,3711567,4068813,4478413,4835850,5356223,5836120,6090696,6592936,7339425,7881500,8206095,9057730,9419906,9759605,9892951,10020252,10673708,11444290,12476751,13471121,13927251,15298258,16487068,17828440,19254565,19406120,20363481,21245649,22768447,23474654,24830090,24349124,25841830,27191546,27786084,28723565,28171453,29543812
 "24000","Maryland",2,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",385161,419686,474852,557133,707096,799015,848331,966402,1060101,1221738,1396664,1516882,1770378,1877903,2129563,2485073,2731190,3000700,3251117,3666739,3895521,4218497,4334210,4524884,4684110,4937460,5079507,5228601,5550372,5861877,6181944,6624598,7127834,7442500,7797766,8542066,8915047,9468015,9795051,10142818,10103898,10696600,11214454,11591620,11449013,11586010,12209584,12396251,12625227,13018760
 "24000","Maryland",2,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",1168938,1199028,1280775,1404250,1578548,1565761,1677699,1895644,1998846,2217985,2345667,2308732,2415660,2434496,2620243,3232396,3626657,3886270,4335533,5234847,5214185,5248239,5643239,6152620,6701384,6957848,7374862,7700320,7937615,10080070,11103050,12554883,14293382,15329104,16247727,18358265,18747362,19302167,17032340,19584631,19861318,23080284,25593345,27471130,26785244,26064205,28852755,32916940,33032024,34555197
 "24000","Maryland",2,CAINC4,71,"..."," Farm proprietors' income","Thousands of dollars",99833,87429,60485,95763,167376,114066,150160,107830,57313,113747,83583,-21471,51997,61309,10810,186891,198936,214315,226846,283444,278710,254817,209814,245794,215076,205525,99921,277861,156454,200833,234835,280584,275172,49271,152716,288994,257535,174343,138713,263989,281686,236151,349266,445033,601259,426800,282584,192684,330520,177111
 "24000","Maryland",2,CAINC4,72,"..."," Nonfarm proprietors' income","Thousands of dollars",1069105,1111599,1220290,1308487,1411172,1451695,1527539,1787814,1941533,2104238,2262084,2330203,2363663,2373187,2609433,3045505,3427721,3671955,4108687,4951403,4935475,4993422,5433425,5906826,6486308,6752323,7274941,7422459,7781161,9879237,10868215,12274299,14018210,15279833,16095011,18069271,18489827,19127824,16893627,19320642,19579632,22844133,25244079,27026097,26183985,25637405,28570171,32724256,32701504,34378086
 "24000","Maryland",2,CAINC4,7010,"...","Total employment","Number of jobs",1679355,1702298,1728598,1781187,1846490,1867792,1845601,1865565,1918925,2003857,2059469,2070441,2095422,2083585,2151035,2242630,2342002,2427570,2553099,2647475,2703904,2737249,2662392,2635653,2658555,2705548,2765393,2806074,2870391,2935441,3007654,3092125,3119857,3156648,3191309,3247756,3310820,3378396,3440607,3430882,3359485,3345423,3394831,3438880,3493921,3537654,3602938,3656163,3702196,3762122
 "24000","Maryland",2,CAINC4,7020,"..."," Wage and salary employment","Number of jobs",1507824,1526688,1545705,1587652,1644117,1663356,1637175,1653854,1706787,1792138,1843422,1844630,1861065,1833647,1891558,1975031,2050525,2118703,2202991,2275714,2324079,2338426,2256161,2240645,2259518,2295631,2329126,2352888,2414004,2465749,2527328,2581832,2595859,2616683,2620444,2643093,2673393,2708827,2725907,2714463,2633448,2622550,2647062,2683738,2702351,2727240,2766946,2803755,2830153,2858395
 "24000","Maryland",2,CAINC4,7040,"..."," Proprietors employment","Number of jobs",171531,175610,182893,193535,202373,204436,208426,211711,212138,211719,216047,225811,234357,249938,259477,267599,291477,308867,350108,371761,379825,398823,406231,395008,399037,409917,436267,453186,456387,469692,480326,510293,523998,539965,570865,604663,637427,669569,714700,716419,726037,722873,747769,755142,791570,810414,835992,852408,872043,903727
 "24001","Allegany, MD",2,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",264663,290136,311478,334500,363799,395750,426402,454997,500039,543032,596718,657336,713712,760948,800021,845335,883933,898034,961109,1019869,1095215,1153951,1189230,1218191,1250928,1293868,1335153,1378165,1433309,1475332,1521417,1596902,1916894,2007359,2102775,2175434,2101765,2045184,2074941,2233858,2306560,2398887,2479759,2509845,2538578,2614103,2677114,2745608,2766459,2875729
 "24001","Allegany, MD",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",264004,289418,310765,333667,362725,394659,425375,454346,499296,541428,594783,655736,712135,759658,798451,843611,882513,897109,959621,1018392,1094208,1152760,1188500,1217140,1250409,1293593,1335735,1378550,1434279,1475542,1521961,1596787,1917443,2007991,2102427,2174739,2100952,2043934,2074928,2233392,2306454,2398817,2478965,2510085,2537605,2613380,2676754,2745827,2767991,2876582
 "24001","Allegany, MD",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",659,718,713,833,1074,1091,1027,651,743,1604,1935,1600,1577,1290,1570,1724,1420,925,1488,1477,1007,1191,730,1051,519,275,-582,-385,-970,-210,-544,115,-549,-632,348,695,813,1250,13,466,106,70,794,-240,973,723,360,-219,-1532,-853
 "24001","Allegany, MD",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",84207,83983,84154,84829,84012,84109,82761,81938,81443,80769,81099,80584,80567,79651,78764,77474,76311,75922,75466,75428,75193,74954,75305,75411,75296,75203,75427,75132,75310,75547,75288,74804,74525,74204,74076,74408,73979,73980,74449,74638,75101,74966,74562,73936,73566,73007,72462,72055,71386,70975
