GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "23000","Maine",1,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",3235956,3557067,3822683,4187722,4706690,5229257,5652308,6446973,7007608,7740514,8589911,9653484,10651560,11580973,12472953,13786735,14893299,16123204,17490913,19277248,21011342,21870390,22249656,23324829,24094940,25085736,26179272,27653140,29169522,31218410,32800735,35226273,37137548,38414135,40289253,42373924,43448525,45683523,47356662,49300648,49267554,50330477,52424425,53490022,53346395,55650013,57947719,59697097,62173463,65454140
 "23000","Maine",1,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3162621,3480533,3757375,4123858,4560256,5035751,5573340,6287281,6882524,7654330,8518527,9608509,10537959,11479433,12402756,13671357,14792927,16032175,17358515,19162936,20889165,21701479,22126858,23151398,23943512,24942738,26061674,27507317,29069901,31045781,32610547,35023509,36949557,38263094,40132123,42201838,43281961,45519176,47180453,49117562,49091466,50074607,52210712,53231903,53081206,55426123,57724815,59547211,61987732,65306435
 "23000","Maine",1,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",73335,76534,65308,63864,146434,193506,78968,159692,125084,86184,71384,44975,113601,101540,70197,115378,100372,91029,132398,114312,122177,168911,122798,173431,151428,142998,117598,145823,99621,172629,190188,202764,187991,151041,157130,172086,166564,164347,176209,183086,176088,255870,213713,258119,265189,223890,222904,149886,185731,147705
 "23000","Maine",1,CAINC4,20,"...","Population (persons) 3/","Number of persons",992000,996784,1015677,1034817,1046420,1060050,1073280,1089960,1105369,1115457,1124927,1126860,1133033,1136683,1144772,1155634,1162935,1170126,1184577,1203840,1219961,1231719,1237081,1238508,1242302,1242662,1243480,1249060,1254774,1259127,1266808,1277072,1285692,1295960,1306513,1313688,1318787,1323619,1327040,1330509,1329590,1327632,1328150,1327691,1328196,1330760,1328484,1331370,1335063,1338404
 "23000","Maine",1,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3262,3569,3764,4047,4498,4933,5266,5915,6340,6939,7636,8567,9401,10188,10896,11930,12807,13779,14766,16013,17223,17756,17986,18833,19395,20187,21053,22139,23247,24794,25892,27584,28885,29641,30837,32256,32946,34514,35686,37054,37055,37910,39472,40288,40165,41818,43619,44839,46570,48905
 "23000","Maine",1,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",2607894,2810078,2969143,3255441,3661270,3990858,4157357,4868702,5273194,5862016,6487721,7121544,7700701,8148360,8809468,9786303,10628148,11570257,12730956,14153301,15258172,15803548,15724966,16424299,16941590,17598285,18046764,18855746,19898487,21468191,23055161,24661701,26114648,27166944,28261972,29737659,30299808,31853059,32515844,32991671,32676914,33749938,34171261,34910666,35368122,36478217,37934533,38977023,40821286,42632702
 "23000","Maine",1,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",180898,193312,210923,241501,301519,337683,357085,422343,461329,531086,606699,668035,770546,831194,909957,1042971,1131501,1238971,1356049,1542866,1649797,1788092,1803220,1905000,2015561,2130058,2207592,2272931,2398631,2543703,2683491,2815262,2949232,2973645,3059199,3217638,3322418,3540312,3696967,3802484,3723454,3830486,3509709,3610295,4183231,4270785,4494470,4623142,4816467,5056388
 "23000","Maine",1,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",81303,86803,94247,105432,132408,149508,157630,179411,195958,224332,257560,288514,337141,369500,399177,445641,506284,566213,628045,724996,799882,871738,893709,944556,996885,1055330,1106010,1141504,1205515,1278554,1357252,1419889,1518398,1576090,1634557,1736120,1806378,1936299,2031198,2090394,2053767,2083868,1714860,1759463,2283128,2352861,2475892,2589872,2717963,2885113
 "23000","Maine",1,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",99595,106509,116676,136069,169111,188175,199455,242932,265371,306754,349139,379521,433405,461694,510780,597330,625217,672758,728004,817870,849915,916354,909511,960444,1018676,1074728,1101582,1131427,1193116,1265149,1326239,1395373,1430834,1397555,1424642,1481518,1516040,1604013,1665769,1712090,1669687,1746618,1794849,1850832,1900103,1917924,2018578,2033270,2098504,2171275
 "23000","Maine",1,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-24881,-20317,-19397,-22100,-12608,-7825,-21220,-24426,-26025,-24597,-17952,-14455,-48232,-46072,-33070,-26230,-4829,35131,59093,72722,72128,70826,88181,132019,191266,250854,317818,371221,444789,518681,584388,701159,712421,676701,656573,682295,689232,722479,722914,705716,687764,729439,796248,831859,870388,928138,987686,997791,1011083,1042070
