GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26000","Michigan",3,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",36067948,37361665,40643958,45132028,50382867,53913200,57745117,64457792,72465620,80772906,88478725,94684397,101254248,104816500,111577181,123177165,133599143,142047588,147561422,157523158,169629265,177393177,181414249,192235076,202432450,217745440,230305875,242218472,254938948,270151457,283993801,302644217,307686901,307192550,314558568,323431848,330450492,338507735,347961924,355102678,336954522,349577666,370676114,386568384,390199848,408617625,432391533,446521148,461485516,484029844
 "26000","Michigan",3,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",35718973,37023443,40336860,44708427,49825316,53268529,57174496,63989419,71916620,80273282,87944494,94158301,100749632,104416862,111364635,122636876,132946955,141565366,146908061,156951956,168666293,176639286,180772677,191506640,201726466,217215483,229635553,241633742,254362307,269556397,283209439,302079855,307163435,306626022,313876019,322310619,329434688,337397753,346765748,353778196,336136619,348224427,368112705,384988244,388103543,407337025,431387071,445716554,460708529,483065933
 "26000","Michigan",3,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",348975,338222,307098,423601,557551,644671,570621,468373,549000,499624,534231,526096,504616,399638,212546,540289,652188,482222,653361,571202,962972,753891,641572,728436,705984,529957,670322,584730,576641,595060,784362,564362,523466,566528,682549,1121229,1015804,1109982,1196176,1324482,817903,1353239,2563409,1580140,2096305,1280600,1004462,804594,776987,963911
 "26000","Michigan",3,CAINC4,20,"...","Population (persons) 3/","Number of persons",8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915
 "26000","Michigan",3,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4107,4200,4530,5001,5554,5918,6340,7070,7913,8778,9566,10230,10995,11499,12332,13612,14720,15562,16061,17089,18332,19051,19298,20280,21219,22687,23801,24821,25990,27432,28695,30409,30796,30671,31327,32165,32877,33729,34792,35700,34030,35391,37512,39059,39361,41147,43533,44868,46258,48423
 "26000","Michigan",3,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",31053554,31215857,33780971,37815703,42744540,44449729,45628575,52169065,59680666,67245392,73059701,73724958,77683770,77086747,82152288,92105831,101661226,108879441,113472437,122203943,129956424,135296923,137453224,146873075,154813193,166532317,175984730,184289237,193514989,207438191,220800626,235948679,237795063,238200642,242133937,248095114,251177994,253368614,254876788,251893313,232680094,240711471,252836143,263944861,271210743,280118443,294475461,304956861,317939299,330816386
 "26000","Michigan",3,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",2205995,2195894,2449798,2904860,3799625,4082063,4090501,4793951,5491416,6390538,7194074,7174240,8185708,8240709,8953546,10356353,11665567,12550722,12895962,14305289,15142477,16052725,16558631,17546506,18603367,20421089,21539159,22020148,23098688,24260305,25630699,26849398,26634050,26921842,27308210,28276578,29161803,29854423,30218783,30252514,28273608,28641053,26597874,27730160,32214541,33286160,34697148,35692563,37121473,38891443
 "26000","Michigan",3,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",1032961,1035079,1153085,1319683,1727193,1869717,1879478,2144742,2432760,2785244,3177968,3229458,3726956,3767182,4033925,4561366,5273067,5730757,5995431,6694816,7247563,7699499,7997743,8411257,8910950,9811709,10438270,10840687,11421555,11989518,12752311,13336593,13380836,13662979,13819288,14294525,14806260,15256329,15532915,15666157,14774871,14985117,12358061,12806738,16876322,17622389,18445773,19167161,20071895,21267256
 "26000","Michigan",3,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",1173034,1160815,1296713,1585177,2072432,2212346,2211023,2649209,3058656,3605294,4016106,3944782,4458752,4473527,4919621,5794987,6392500,6819965,6900531,7610473,7894914,8353226,8560888,9135249,9692417,10609380,11100889,11179461,11677133,12270787,12878388,13512805,13253214,13258863,13488922,13982053,14355543,14598094,14685868,14586357,13498737,13655936,14239813,14923422,15338219,15663771,16251375,16525402,17049578,17624187
 "26000","Michigan",3,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",104867,112466,105491,113492,139789,139763,149194,190571,216985,260185,292210,337067,377986,380669,413273,479201,501029,488401,506772,514604,512000,458021,487610,552159,627613,753572,796815,822503,909221,992850,1080484,1098060,1188640,1216873,1272229,1368548,1444696,1630663,1676797,1682074,1516945,1579301,1727423,1911357,1918806,2075047,2095601,2219803,2330952,2367801
 "26000","Michigan",3,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",28952426,29132429,31436664,35024335,39084704,40507429,41687268,47565685,54406235,61115039,66157837,66887785,69876048,69226707,73612015,82228679,90496688,96817120,101083247,108413258,115325947,119702219,121382203,129878728,136837439,146864800,155242386,163091592,171325522,184170736,196250411,210197341,212349653,212495673,216097956,221187084,223460887,225144854,226334802,223322873,205923431,213649719,227965692,238126058,240915008,248907330,261873914,271484101,283148778,294292744
 "26000","Michigan",3,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",4556776,5013591,5368971,5789901,6372734,7253053,7982507,8569340,9514251,10575098,11847601,13970167,16732565,19240855,20665442,23457468,25051788,26300996,27014609,28807606,32337262,33887991,33551127,34305855,35613041,40604466,43108433,45570428,48127955,50734105,49971847,53403663,51862338,49634091,51159908,52927822,54540687,57369921,60385410,62067759,53609602,53243084,60168907,66313638,65901751,73322436,79118089,81466684,84777721,91960756
 "26000","Michigan",3,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",2558746,3215645,3838323,4317792,4925429,6152718,8075342,8322767,8545134,9082769,10473287,13826445,14645635,16348938,17299724,17491018,18050667,18929472,19463566,20302294,21966056,23802967,26480919,28050493,29981970,30276174,31955056,33556452,35485471,35246616,37771543,39043213,43474910,45062786,47300704,49316942,52448918,55992960,61241712,69712046,77421489,82684863,82541515,82128688,83383089,86387859,91399530,93570363,93559017,97776344
 "26000","Michigan",3,CAINC4,50,"...","Wages and salaries","Thousands of dollars",24900897,25164893,27111922,30162596,34128907,35470173,35805471,41050282,46642105,52622293,57351604,57680294,60966818,60132841,63593630,70652302,77899950,83073273,86695736,93085075,98275315,102151560,103145265,109232997,114797106,124341280,132149084,139053421,146790512,156280307,165325888,174162418,171959344,172325681,175569802,179139670,182331284,183864144,186808220,185467279,170005595,172681332,181926988,189590636,194929435,204256778,214599221,222534757,231772615,240365367
 "26000","Michigan",3,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",3357946,3381730,3884866,4530536,5204343,5446017,6155533,7095254,8437182,9750258,10750638,11317975,12017266,12556472,13769367,15358496,17308347,19140414,19265916,21569556,22768825,24250569,25499877,28625016,30052084,31747464,32139391,32493815,33110438,35018981,36998045,40567069,41536411,42017382,43169865,45603994,47281045,47577680,47513088,46842234,44985980,45908052,46212797,46449498,47009084,47309058,50843370,53464104,55112237,57885982
 "26000","Michigan",3,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",2184912,2220915,2588153,2945359,3131911,3233671,3944510,4446045,5378526,6144964,6734532,7373193,7558514,8082945,8849746,9563509,10915847,12320449,12365385,13959083,14873911,15897343,16938989,19489767,20359667,21138084,21038502,21314354,21433305,22748194,24119657,27054264,28283197,28758519,29680943,31621941,32925502,32979586,32827220,32255877,31487243,32252116,31972984,31526076,31670865,31645287,34591995,36938702,38062659,40261795
 "26000","Michigan",3,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",1173034,1160815,1296713,1585177,2072432,2212346,2211023,2649209,3058656,3605294,4016106,3944782,4458752,4473527,4919621,5794987,6392500,6819965,6900531,7610473,7894914,8353226,8560888,9135249,9692417,10609380,11100889,11179461,11677133,12270787,12878388,13512805,13253214,13258863,13488922,13982053,14355543,14598094,14685868,14586357,13498737,13655936,14239813,14923422,15338219,15663771,16251375,16525402,17049578,17624187
 "26000","Michigan",3,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",2794711,2669234,2784183,3122571,3411290,3533539,3667571,4023529,4601379,4872841,4957459,4726689,4699686,4397434,4789291,6095033,6452929,6665754,7510785,7549312,8912284,8894794,8808082,9015062,9964003,10443573,11696255,12742001,13614039,16138903,18476693,21219192,24299308,23857579,23394270,23351450,21565665,21926790,20555480,19583800,17688519,22122087,24696358,27904727,29272224,28552607,29032870,28958000,31054447,32565037
 "26000","Michigan",3,CAINC4,71,"..."," Farm proprietors' income","Thousands of dollars",265698,244971,211752,324008,451452,521983,454137,341192,412979,343479,360093,341359,323198,192107,10847,337175,443373,285130,454029,326478,678302,391612,259025,306751,278813,104222,235514,136106,86283,59467,290280,-6907,-29047,-27393,192602,566046,512763,615783,459221,723312,188385,866008,1942689,777894,1349544,402914,131454,-189589,-20201,62729
