GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "29000","Missouri",4,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",16912485,18479482,19938913,21682224,24089650,25774725,28212715,30912024,34252401,38129735,42513848,46120241,51516587,55083525,58757912,65189289,69743973,73416857,77345852,82131486,88040042,91909039,95964054,102138919,106821070,113391093,119590208,126668265,134328093,141158193,146923424,157009200,161989240,165665484,171751118,180801720,187528663,198791575,208403566,219503349,215681804,220788141,230429734,241762688,243582342,252999728,261666491,269880482,279433435,292512822
 "29000","Missouri",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",16465047,17957207,19370781,20971474,22878452,25139470,27519993,30447601,33542288,37217325,41342533,45885160,50751482,54743788,58868238,64771424,68954215,72840099,76615044,81482318,87137845,91212240,95386036,101290777,106335198,112679495,119386102,125627960,133281409,140627760,146697870,156235562,161167482,165274033,170716401,178531844,186100794,197536336,206992865,217507823,214080954,219356827,228294367,240406903,240737837,249927284,261103159,268998967,278495583,292280411
 "29000","Missouri",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",447438,522275,568132,710750,1211198,635255,692722,464423,710113,912410,1171315,235081,765105,339737,-110326,417865,789758,576758,730808,649168,902197,696799,578018,848142,485872,711598,204106,1040305,1046684,530433,225554,773638,821758,391451,1034717,2269876,1427869,1255239,1410701,1995526,1600850,1431314,2135367,1355785,2844505,3072444,563332,881515,937852,232411
 "29000","Missouri",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452
 "29000","Missouri",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3645,3945,4222,4562,5045,5386,5883,6409,7070,7828,8695,9370,10445,11174,11885,13103,13948,14616,15296,16162,17277,17920,18559,19578,20265,21296,22236,23321,24507,25564,26416,28001,28716,29193,30082,31456,32387,34024,35397,37054,36182,36823,38343,40133,40324,41775,43096,44336,45744,47746
 "29000","Missouri",4,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",14712696,15698045,16758181,18262972,20300593,21213879,22552286,24967038,27923603,31316932,34866267,36232052,39543231,40917487,43574712,48746281,52618890,55626033,59407318,63368460,67445849,70308277,72218391,77173464,80324366,85534034,90233679,95853639,101885517,107230395,113362627,120835206,124339711,128034301,132220440,139547593,144010271,151088435,155996277,162284599,159108456,161459170,165318865,171287414,177942042,181893445,186666284,191660414,198129563,205431842
 "29000","Missouri",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",954468,1004738,1108898,1261292,1584345,1766953,1842370,2096831,2331525,2697221,3089960,3279305,3789200,4043819,4388901,4996867,5478620,5878664,6195510,6835737,7299031,7871562,8213598,8666067,9093160,9774229,10357372,10778741,11410100,12009879,12636662,13300786,13688520,14019793,14448055,14983485,15737724,16724519,17498624,18253838,17721203,17700632,16304068,16747391,19443443,20008839,21071884,21505040,22164217,22957035
 "29000","Missouri",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",488891,516102,567911,633356,794670,887183,926778,1023949,1122740,1292780,1490256,1610002,1876828,2015189,2155397,2407458,2721217,2937089,3133003,3481707,3779327,4057213,4259177,4488917,4714335,5079173,5411929,5626404,5947948,6237838,6579087,6906493,7120400,7325558,7520771,7839912,8219000,8783432,9232610,9611020,9367364,9397390,7707575,7878082,10365452,10699950,11249259,11532502,12016240,12604937
 "29000","Missouri",4,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",465577,488636,540987,627936,789675,879770,915592,1072882,1208785,1404441,1599704,1669303,1912372,2028630,2233504,2589409,2757403,2941575,3062507,3354030,3519704,3814349,3954421,4177150,4378825,4695056,4945443,5152337,5462152,5772041,6057575,6394293,6568120,6694235,6927284,7143573,7518724,7941087,8266014,8642818,8353839,8303242,8596493,8869309,9077991,9308889,9822625,9972538,10147977,10352098
 "29000","Missouri",4,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-752169,-694332,-679793,-697776,-729205,-755546,-770513,-838567,-968969,-1120786,-1286888,-1495006,-1628633,-1684688,-1708491,-1857556,-1987740,-2053005,-2169778,-2252463,-2385893,-2599982,-2591872,-2715819,-2833834,-2860155,-3110156,-3209628,-3388252,-3550710,-3679974,-3963766,-4019437,-4131047,-4181771,-4281757,-4572380,-4973469,-4837576,-5425660,-5119186,-4927362,-4337179,-4878066,-4723007,-4788326,-4998485,-5284129,-5558713,-5716103
