GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "28000","Mississippi",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",5540675,6077002,6737073,7677404,8779039,9648091,10462842,11877611,13222207,14721611,16636575,18097527,20331600,21465369,22451566,24527664,25818840,26781306,28323856,30302627,32735804,34442518,36287596,39062668,41597030,45005285,47613260,50525507,53377481,56601880,58501645,61638176,64992885,66139059,68806622,72778583,77596415,80873344,85999513,89844970,88333012,91795431,95795189,99386424,101176748,103310764,104670148,106423507,108749235,112991668
 "28000","Mississippi",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",5195249,5686254,6305432,7188156,8092775,9140043,10093715,11311484,12622839,14277074,15943305,17922618,20008780,21048047,22356167,24055384,25387929,26584234,27744083,29577551,32176435,33960984,35711389,38404210,41025486,44172810,46946648,49459154,52396737,55644987,57567988,60857670,63421860,65509154,67628883,70983142,75843579,80059256,84854117,89132198,87506702,90929890,95242369,98596452,98898273,101987649,104003734,105863882,107517551,111774989
 "28000","Mississippi",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",345426,390748,431641,489248,686264,508048,369127,566127,599368,444537,693270,174909,322820,417322,95399,472280,430911,197072,579773,725076,559369,481534,576207,658458,571544,832475,666612,1066353,980744,956893,933657,780506,1571025,629905,1177739,1795441,1752836,814088,1145396,712772,826310,865541,552820,789972,2278475,1323115,666414,559625,1231684,1216679
 "28000","Mississippi",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530
 "28000","Mississippi",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2496,2736,2974,3327,3736,4056,4360,4887,5375,5917,6633,7166,8008,8395,8744,9514,9976,10326,10942,11744,12717,13356,13964,14888,15667,16737,17488,18386,19221,20180,20684,21640,22781,23136,23989,25192,26703,27840,29368,30479,29855,30902,32163,33309,33852,34545,35022,35613,36375,37834
 "28000","Mississippi",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",4570983,4881173,5354041,6148419,7050005,7532283,7895309,9112206,10207537,11334115,12763334,13197641,14548264,15034550,15493524,17134725,18020012,18701926,20007676,21523018,22798410,24157487,25320179,27368797,29359272,32066237,33399569,35217048,37125340,39685848,41393847,42964350,44730363,45366094,47579007,50666934,52767665,54620042,56575131,58336277,56286592,58360399,59680804,62403048,65003119,65698737,65324491,66060501,68203564,70285971
 "28000","Mississippi",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",290831,310203,351085,421301,538239,615467,653112,756504,850173,981797,1128894,1210227,1421451,1497310,1593803,1773270,1913772,2032083,2125070,2373612,2541703,2803227,2988565,3192126,3452582,3779262,3946158,4069038,4283603,4579182,4782857,4926115,5012801,5213514,5375431,5697919,5914163,6398930,6670899,6889340,6799149,6890766,6403696,6617230,7551224,7739269,7944283,8117493,8347302,8537647
 "28000","Mississippi",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",146492,157094,176026,208537,265411,304493,323748,364519,404132,462266,535924,585132,693349,741378,781705,855215,953028,1024282,1080501,1217452,1330058,1455746,1560413,1662182,1792909,1969227,2074902,2137189,2253689,2398000,2516436,2590849,2653737,2767915,2861781,3021686,3187482,3494763,3677392,3803644,3757849,3816734,3115809,3207117,4162657,4302649,4423305,4569368,4720481,4899418
 "28000","Mississippi",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",144339,153109,175059,212764,272828,310974,329364,391985,446041,519531,592970,625095,728102,755932,812098,918055,960744,1007801,1044569,1156160,1211645,1347481,1428152,1529944,1659673,1810035,1871256,1931849,2029914,2181182,2266421,2335266,2359064,2445599,2513650,2676233,2726681,2904167,2993507,3085696,3041300,3074032,3287887,3410113,3388567,3436620,3520978,3548125,3626821,3638229
 "28000","Mississippi",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",35979,37374,58850,74070,93764,122454,148674,179020,217657,271497,325350,410298,439612,457274,513039,572020,603072,591506,629635,671516,714602,749011,804045,822865,839460,837518,920045,961560,1112017,1187714,1286526,1477817,1540691,1583399,1666861,1777623,1895448,2112678,2268351,2409229,2365881,2427497,2648856,2850090,2989724,3048597,3196305,3256115,3262969,3414267
 "28000","Mississippi",5,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",4316131,4608344,5061806,5801188,6605530,7039270,7390871,8534722,9575021,10623815,11959790,12397712,13566425,13994514,14412760,15933475,16709312,17261349,18512241,19820922,20971309,22103271,23135659,24999536,26746150,29124493,30373456,32109570,33953754,36294380,37897516,39516052,41258253,41735979,43870437,46746638,48748950,50333790,52172583,53856166,51853324,53897130,55925964,58635908,60441619,61008065,60576513,61199123,63119231,65162591
 "28000","Mississippi",5,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",672878,779693,861256,958058,1108523,1296464,1440920,1557145,1737547,1998082,2280431,2820539,3501986,3882734,4088222,4508705,4829627,4985319,5090744,5452913,6269413,6377003,6444110,6548255,6839207,7381245,7948957,8457166,9089519,9888348,9872906,10596180,10867665,10588212,10495917,10508937,11387942,12956215,15459028,15197514,14251809,13808487,14934605,15835684,15267439,16066133,16781439,17046302,17346710,18553255
 "28000","Mississippi",5,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",551666,688965,814011,918158,1064986,1312357,1631051,1785744,1909639,2099714,2396354,2879276,3263189,3588121,3950584,4085484,4279901,4534638,4720871,5028792,5495082,5962244,6707827,7514877,8011673,8499547,9290847,9958771,10334208,10419152,10731223,11525944,12866967,13814868,14440268,15523008,17459523,17583339,18367902,20791290,22227879,24089814,24934620,24914832,25467690,26236566,27312196,28178082,28283294,29275822
 "28000","Mississippi",5,CAINC4,50,"...","Wages and salaries","Thousands of dollars",3376698,3593032,3883546,4419020,4996930,5524700,5813776,6556857,7334030,8289878,9235029,9986847,10946256,11319647,11730493,12572789,13268332,13849194,14572834,15663046,16613993,17596358,18361826,19544908,21039804,22998396,24205827,25310026,26809886,28758597,30031335,31070047,31462968,32375976,33403094,34958221,36503704,38668656,40496041,42024134,40662305,41143887,41911700,43385162,44177189,45378521,46355924,47342358,48444370,49815590
