GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "30000","Montana",7,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2350491,2604190,2787297,3230256,3745221,4069917,4478717,4806477,5197877,6090546,6548668,7211128,8194340,8635647,9076888,9602766,9738412,10125627,10398004,10687855,11775559,12378011,13196264,14013952,15163358,15585255,16415894,17203322,17939129,19182224,19592180,20871945,21753390,22359888,23980935,25967935,28000613,30402304,32716567,34421359,33711467,35561830,38077749,40471028,40720773,42817536,44831039,45507927,47717879,50499695
 "30000","Montana",7,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",2110212,2314513,2538335,2831148,3172294,3607174,4082218,4585984,5132243,5792996,6435489,7096002,7972526,8468634,8954439,9563545,9827983,9892432,10086139,10583304,11362008,11989040,12651927,13532223,14397850,15205810,16087370,16902366,17709701,18892283,19215732,20621265,21414087,22170769,23629902,25420425,27417161,30246735,32296567,33931855,33344346,35026516,37431377,39746741,39750851,42098536,44062061,44933178,47460589,50023436
 "30000","Montana",7,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",240279,289677,248962,399108,572927,462743,396499,220493,65634,297550,113179,115126,221814,167013,122449,39221,-89571,233195,311865,104551,413551,388971,544337,481729,765508,379445,328524,300956,229428,289941,376448,250680,339303,189119,351033,547510,583452,155569,420000,489504,367121,535314,646372,724287,969922,719000,768978,574749,257290,476259
 "30000","Montana",7,CAINC4,20,"...","Population (persons) 3/","Number of persons",694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305
 "30000","Montana",7,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3387,3735,3920,4492,5149,5521,5978,6337,6739,7768,8298,9142,10303,10741,11151,11698,11843,12443,12916,13356,14726,15469,16298,16971,17950,18095,18728,19411,20159,21494,21830,23094,23985,24526,26077,27922,29785,31912,33914,35253,34260,35895,38184,40320,40176,41900,43504,43721,45312,47538
 "30000","Montana",7,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",1873921,2045607,2169624,2557335,2979658,3170700,3409995,3644033,3909661,4664031,4924780,5227899,5788716,5885709,6165828,6435926,6440756,6767052,7030218,7258317,7984527,8428822,9178614,9827016,10820733,11023628,11347490,11805788,12202186,13071043,13569468,14256331,14822813,15512293,16621547,18108889,19625554,20897356,22307518,22987541,22575889,23748923,25114590,26461356,27225171,28043671,29053728,29083705,30109829,31735257
 "30000","Montana",7,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",126533,136515,150913,177363,227000,262363,283427,323987,368803,432677,496461,541596,632485,663807,699580,758281,789568,805275,827330,927041,996734,1118433,1219468,1323612,1461680,1547082,1564191,1562744,1585084,1642582,1692381,1792585,1907727,2019203,2121082,2256892,2454530,2654707,2857726,2930129,2875916,2943242,2788495,2870800,3336604,3485498,3586517,3557451,3831335,4044827
 "30000","Montana",7,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",60064,64901,70197,81686,104734,119022,128123,141128,160200,188078,214960,234513,275458,292708,304230,324053,349920,360710,371684,422512,461534,514672,560310,609218,651656,694473,727131,755496,788650,819128,850370,892436,962603,1005477,1048140,1123884,1223804,1321739,1421210,1466665,1450332,1480144,1239004,1283806,1695347,1773571,1839757,1903944,1994076,2117161
 "30000","Montana",7,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",66469,71614,80716,95677,122266,143341,155304,182859,208603,244599,281501,307083,357027,371099,395350,434228,439648,444565,455646,504529,535200,603761,659158,714394,810024,852609,837060,807248,796434,823454,842011,900149,945124,1013726,1072942,1133008,1230726,1332968,1436516,1463464,1425584,1463098,1549491,1586994,1641257,1711927,1746760,1653507,1837259,1927666
 "30000","Montana",7,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-810,-980,-688,-296,281,942,2386,3269,4145,3164,5717,12837,24859,17353,9264,5899,3273,-1591,-3281,-648,-2836,-4360,-11424,-2039,750,5237,8494,11407,13109,17817,21325,25992,27860,26299,23997,23345,19817,14623,16935,27157,37077,74291,179718,358356,447027,547502,428069,271691,312550,379143
 "30000","Montana",7,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",1746578,1908112,2018023,2379676,2752939,2909279,3128954,3323315,3545003,4234518,4434036,4699140,5181090,5239255,5475512,5683544,5654461,5960186,6199607,6330628,6984957,7306029,7947722,8501365,9359803,9481783,9791793,10254451,10630211,11446278,11898412,12489738,12942946,13519389,14524462,15875342,17190841,18257272,19466727,20084569,19737050,20879972,22505813,23948912,24335594,25105675,25895280,25797945,26591044,28069573
 "30000","Montana",7,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",394372,454930,488866,540720,632426,737853,835561,913213,1038169,1181483,1354793,1617093,1978823,2238789,2333004,2566182,2653432,2637766,2597562,2664335,2934589,3039458,3108591,3191748,3310695,3514957,3850452,4069009,4368653,4683792,4663105,4992746,5139832,5032488,5475747,5849327,6268165,7228531,8002911,8371498,7509349,7622789,8581972,9335577,9015439,9968731,10852594,11001326,11742677,12703024
 "30000","Montana",7,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",209541,241148,280408,309860,359856,422785,514202,569949,614705,674545,759839,894895,1034427,1157603,1268372,1353040,1430519,1527675,1600835,1692892,1856013,2032524,2139951,2320839,2492860,2588515,2773649,2879862,2940265,3052154,3030663,3389461,3670612,3808011,3980726,4243266,4541607,4916501,5246929,5965292,6465068,7059069,6989964,7186539,7369740,7743130,8083165,8708656,9384158,9727098
 "30000","Montana",7,CAINC4,50,"...","Wages and salaries","Thousands of dollars",1259884,1360438,1473954,1640804,1838252,2063928,2267604,2520607,2808049,3210793,3583651,3857771,4217962,4337577,4502426,4685203,4737732,4683894,4793999,5074530,5320222,5667646,6035514,6451963,6895828,7287082,7618148,8044238,8439543,8912587,9298852,9890097,10389840,10864015,11394423,12089020,12958784,13981074,15056186,15587081,15259607,15507388,16165620,17110461,17618141,18380532,19245193,19795454,20617163,21539616
 "30000","Montana",7,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",164677,185230,215348,250987,288581,335545,383649,433397,496204,567481,639824,698784,787068,841460,917444,983931,1036613,1057748,1103680,1176192,1285766,1408459,1529582,1732769,1895238,1998955,2022388,2010316,2012950,2115252,2201753,2401661,2485985,2714175,2912040,3101092,3347143,3608428,3859598,3993075,3916747,4180435,4472808,4541129,4656172,4810623,4889627,4789008,5088223,5337866
