GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "38000","North Dakota",4,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1990570,2102372,2424204,2887407,4036830,3998170,4181464,4101883,4261106,5357868,5507412,5269899,6899449,7453236,7831128,8458262,8740885,8869920,9133063,8466566,9482678,10256587,10388057,11391699,11547525,12547582,12570634,14065748,13771145,15105235,15328792,16663930,16963494,17347849,18863773,19234383,20381689,21361380,23686548,26555213,26361295,29344633,32882167,38859786,38860616,41526191,40600607,39622200,39774613,42147741
 "38000","North Dakota",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",1606917,1797729,1991900,2221078,2510097,2836791,3239437,3627738,3991356,4496635,5009854,5657527,6531923,7151696,7469011,7851099,8046817,8181312,8349447,8532186,9045812,9489844,9779067,10323442,10930163,11496897,12149563,12764772,13474769,14141980,14646152,15573405,16173621,16754620,17390781,18286850,19235247,20619019,22020784,24197458,24846546,27270046,30943028,35343615,36997450,40732155,40381368,38856982,38908468,41082582
 "38000","North Dakota",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",383653,304643,432304,666329,1526733,1161379,942027,474145,269750,861233,497558,-387628,367526,301540,362117,607163,694068,688608,783616,-65620,436866,766743,608990,1068257,617362,1050685,421071,1300976,296376,963255,682640,1090525,789873,593229,1472992,947533,1146442,742361,1665764,2357755,1514749,2074587,1939139,3516171,1863166,794036,219239,765218,866145,1065159
 "38000","North Dakota",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674710,685136,701116,721999,737382,754022,754353,755176,760077
 "38000","North Dakota",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3205,3397,3868,4576,6383,6304,6549,6357,6564,8235,8445,8053,10462,11141,11573,12429,12912,13248,13814,12920,14671,16084,16340,17849,18009,19460,19404,21627,21196,23327,23793,25955,26544,27184,29529,29834,31546,32893,36283,40384,39643,43492,47994,55426,53824,56316,53845,52525,52669,55452
 "38000","North Dakota",4,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",1635476,1697577,1959279,2373485,3449296,3326785,3384488,3250475,3277555,4284296,4324493,3766068,5008975,5209040,5528819,5973109,6151885,6202601,6524523,5923751,6675182,7363324,7550161,8446587,8499799,9421916,9215390,10588494,10069888,11295046,11554251,12600120,12856596,13217573,14752596,15110796,16053190,16696172,18470052,20387377,20471377,22930401,25785848,31359426,31858373,34033467,32659834,31138832,31423037,32980043
 "38000","North Dakota",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",102137,114696,128946,147359,189342,224187,256032,293514,302537,353571,411981,450289,532573,576432,613251,652117,677884,697767,727000,794183,839677,932765,1002204,1064376,1145865,1220547,1269860,1327100,1374237,1438540,1478456,1549851,1591339,1647953,1737336,1839553,1918959,2010611,2113500,2261760,2419914,2503658,2625017,2843735,3476806,3866470,3847531,3700132,3839303,3900954
 "38000","North Dakota",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",55114,60716,66442,73451,97324,115928,131847,145655,141350,164074,191653,210135,248299,268693,280981,297365,322388,336781,352170,386400,415409,458298,491548,515695,545072,580787,594265,619980,650246,675752,704608,733229,782989,803973,849467,902851,952983,1020561,1109665,1200534,1226584,1290448,1159097,1281856,1740607,1887044,1881226,1843831,1875886,1961579
 "38000","North Dakota",4,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",47023,53980,62504,73908,92018,108259,124185,147859,161187,189497,220328,240154,284274,307739,332270,354752,355496,360986,374830,407783,424268,474467,510656,548681,600793,639760,675595,707120,723991,762788,773848,816622,808350,843980,887869,936702,965976,990050,1003835,1061226,1193330,1213210,1465920,1561879,1736199,1979426,1966305,1856301,1963417,1939375
 "38000","North Dakota",4,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-55167,-57603,-60440,-63911,-67452,-79034,-83125,-96637,-102515,-112909,-129926,-145433,-166081,-168070,-170711,-170382,-169562,-167959,-168182,-175189,-180173,-184171,-190934,-205941,-225383,-240512,-261844,-293990,-320970,-343995,-370431,-403890,-432205,-447013,-469380,-521665,-570011,-634621,-703588,-761796,-802935,-966938,-1321545,-1901327,-2291904,-2634938,-2393450,-1978437,-2090168,-2276200
