GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "33000","New Hampshire",1,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2781338,2965678,3220121,3561963,4013324,4417159,4802304,5435993,6146446,7090723,8111862,9278182,10517049,11579731,12713183,14376311,15842444,17508758,19362138,21322166,22846665,23006508,23792304,24968214,25786710,27522349,29202817,30941453,33274001,36531618,38959643,43867246,46193558,47054387,48040657,50939756,52878762,56585684,58631306,60129016,59082536,61604587,64589687,67528805,67320412,70225194,73212417,75816667,78822059,83142609
 "33000","New Hampshire",1,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",2760573,2949405,3205761,3546189,3993047,4404057,4785605,5417735,6128951,7072178,8090977,9264987,10494869,11561500,12696503,14355435,15818890,17484855,19320343,21277834,22813006,22963595,23749061,24918542,25746270,27484367,29169596,30902947,33238175,36493725,38916940,43824834,46153778,47014289,47993880,50883880,52831539,56546886,58591392,60072592,59048331,61555348,64544032,67447767,67232674,70165072,73148711,75775324,78779653,83106318
 "33000","New Hampshire",1,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",20765,16273,14360,15774,20277,13102,16699,18258,17495,18545,20885,13195,22180,18231,16680,20876,23554,23903,41795,44332,33659,42913,43243,49672,40440,37982,33221,38506,35826,37893,42703,42412,39780,40098,46777,55876,47223,38798,39914,56424,34205,49239,45655,81038,87738,60122,63706,41343,42406,36291
 "33000","New Hampshire",1,CAINC4,20,"...","Population (persons) 3/","Number of persons",724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458
 "33000","New Hampshire",1,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3842,3997,4225,4557,5005,5406,5786,6418,7050,7932,8896,10039,11229,12219,13269,14717,15894,17081,18365,19696,20685,20682,21436,22337,22831,24088,25228,26339,27975,30293,31882,35380,36792,37077,37536,39484,40723,43248,44670,45694,44892,46784,48938,51005,50754,52673,54788,56480,58397,61294
 "33000","New Hampshire",1,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",2023699,2141097,2297301,2552460,2903172,3127647,3295119,3798009,4312669,5027183,5746184,6361303,7040895,7592340,8513753,9614359,10788271,12123551,13705612,15125904,15752234,15626453,15609742,16728203,17467112,18622921,19748907,21079488,22839828,25574938,27671569,31110602,33074729,33965031,34936065,36886421,38540994,40950003,41512853,41639400,41608188,43477751,44476174,45554317,46121083,47824582,49301220,50649479,53067460,55152130
 "33000","New Hampshire",1,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",129247,135524,150680,176601,229731,257857,267113,310398,354374,421132,503725,559499,667377,739592,840841,977213,1125603,1275546,1420277,1605740,1677354,1709627,1730459,1838805,1918891,2074471,2223507,2347051,2521463,2734380,2903990,3190145,3323809,3384981,3549811,3809261,3976848,4150373,4321199,4459451,4431788,4557686,4225202,4329755,4953883,5128206,5331277,5522223,5836132,5999042
 "33000","New Hampshire",1,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",68066,71531,79118,90990,118058,133873,139165,156874,178743,208033,252081,283758,341113,380858,426725,486982,577525,655476,741632,840278,886377,902494,923506,984143,1029233,1113900,1197421,1259629,1348440,1463050,1559898,1708567,1787966,1834214,1922197,2046241,2158239,2269544,2379226,2455764,2411873,2448462,2010074,2052323,2686832,2820007,2972283,3098263,3283863,3409850
 "33000","New Hampshire",1,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",61181,63993,71562,85611,111673,123984,127948,153524,175631,213099,251644,275741,326264,358734,414116,490231,548078,620070,678645,765462,790977,807133,806953,854662,889658,960571,1026086,1087422,1173023,1271330,1344092,1481578,1535843,1550767,1627614,1763020,1818609,1880829,1941973,2003687,2019915,2109224,2215128,2277432,2267051,2308199,2358994,2423960,2552269,2589192
 "33000","New Hampshire",1,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",234077,219989,229336,252450,280389,322786,355566,400206,472497,564208,678156,840220,950232,1036034,1152700,1361951,1495945,1571305,1683010,1822864,1940930,1971773,2118194,2177263,2302612,2398621,2390959,2565854,2802831,2903973,3375819,4020718,4063813,3934618,3948858,4228639,4220096,4375340,4747380,4878187,4161487,4767721,5086259,5493266,5202278,4942679,5446569,6042672,6134602,6717482
 "33000","New Hampshire",1,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",2128529,2225562,2375957,2628309,2953830,3192576,3383572,3887817,4430792,5170259,5920615,6642024,7323750,7888782,8825612,9999097,11158613,12419310,13968345,15343028,16015810,15888599,15997477,17066661,17850833,18947071,19916359,21298291,23121196,25744531,28143398,31941175,33814733,34514668,35335112,37305799,38784242,41174970,41939034,42058136,41337887,43687786,45337231,46717828,46369478,47639055,49416512,51169928,53365930,55870570
 "33000","New Hampshire",1,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",449482,498786,551942,611332,679320,769082,832698,922238,1054220,1195931,1362604,1664373,2055370,2442892,2554765,2967287,3207782,3541386,3812829,4266296,4911667,4967495,4912954,4831773,4963030,5198858,5645031,6044175,6412287,6907063,6858093,7664894,7725339,7472523,7510019,7951757,8167531,9081918,9822886,10118218,9170168,8780672,10178776,11595328,11553917,12581685,13055862,13273413,13709043,14895782
 "33000","New Hampshire",1,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",203327,241330,292222,322322,380174,455501,586034,625938,661434,724533,828643,971785,1137929,1248057,1332806,1409927,1476049,1548062,1580964,1712842,1919188,2150414,2881873,3069780,2972847,3376420,3641427,3598987,3740518,3880024,3958152,4261177,4653486,5067196,5195526,5682200,5926989,6328796,6869386,7952662,8574481,9136129,9073680,9215649,9397017,10004454,10740043,11373326,11747086,12376257
 "33000","New Hampshire",1,CAINC4,50,"...","Wages and salaries","Thousands of dollars",1618555,1719171,1823045,2012664,2288524,2475207,2567886,2918453,3301815,3840805,4380309,4871520,5396736,5864493,6479476,7244315,8115064,9099130,10152041,11198672,11627541,11681999,11539595,12211564,12633017,13469426,14490959,15465188,16828867,18348810,19560012,21673479,22310997,22563413,23374926,24859263,25962935,27442637,28502428,29108395,28022264,28465514,29458632,30470786,31223871,33033678,34481793,35700383,37071178,38454277
 "33000","New Hampshire",1,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",173409,191562,215671,253345,294760,328281,381073,448936,532356,637326,744139,843734,971173,1073692,1231303,1384287,1562233,1787516,1989750,2200055,2353628,2400457,2442943,2708808,2886215,3064779,3156287,3233571,3383149,3687283,3900163,4303983,4713403,4943929,5265099,5622441,5950155,6182887,6436058,6683342,7025733,7172566,7427415,7128117,7454565,7596386,7908014,7747325,8189993,8531456
 "33000","New Hampshire",1,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",112228,127569,144109,167734,183087,204297,253125,295412,356725,424227,492495,567993,644909,714958,817187,894056,1014155,1167446,1311105,1434593,1562651,1593324,1635990,1854146,1996557,2104208,2130201,2146149,2210126,2415953,2556071,2822405,3177560,3393162,3637485,3859421,4131546,4302058,4494085,4679655,5005818,5063342,5212287,4850685,5187514,5288187,5549020,5323365,5637724,5942264
 "33000","New Hampshire",1,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",61181,63993,71562,85611,111673,123984,127948,153524,175631,213099,251644,275741,326264,358734,414116,490231,548078,620070,678645,765462,790977,807133,806953,854662,889658,960571,1026086,1087422,1173023,1271330,1344092,1481578,1535843,1550767,1627614,1763020,1818609,1880829,1941973,2003687,2019915,2109224,2215128,2277432,2267051,2308199,2358994,2423960,2552269,2589192
 "33000","New Hampshire",1,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",231735,230364,258585,286451,319888,324159,346160,430620,478498,549052,621736,646049,672986,654155,802974,985757,1110974,1236905,1563821,1727177,1771065,1543997,1627204,1807831,1947880,2088716,2101661,2380729,2627812,3538845,4211394,5133140,6050329,6457689,6296040,6404717,6627904,7324479,6574367,5847663,6560191,7839671,7590127,7955414,7442647,7194518,6911413,7201771,7806289,8166397
 "33000","New Hampshire",1,CAINC4,71,"..."," Farm proprietors' income","Thousands of dollars",13928,9228,8256,10257,13857,6631,9715,10945,8810,4644,6119,-1747,8185,2751,1498,5343,7554,8600,26261,26845,14912,20880,21615,28809,16098,13110,3906,7047,1607,4396,12322,8089,5195,-1648,9445,19836,18297,6748,2742,21517,600,17336,17753,31993,37634,6905,20132,-8514,4555,-2264
 "33000","New Hampshire",1,CAINC4,72,"..."," Nonfarm proprietors' income","Thousands of dollars",217807,221136,250329,276194,306031,317528,336445,419675,469688,544408,615617,647796,664801,651404,801476,980414,1103420,1228305,1537560,1700332,1756153,1523117,1605589,1779022,1931782,2075606,2097755,2373682,2626205,3534449,4199072,5125051,6045134,6459337,6286595,6384881,6609607,7317731,6571625,5826146,6559591,7822335,7572374,7923421,7405013,7187613,6891281,7210285,7801734,8168661
 "33000","New Hampshire",1,CAINC4,7010,"...","Total employment","Number of jobs",334070,333695,336311,349678,374038,380712,370436,393755,418419,445596,467512,481610,491780,498144,517638,553158,585708,617430,634718,659854,659566,642570,616340,628633,641906,665701,679441,695920,716703,743341,760763,783545,788168,788484,797648,812823,825600,835582,848001,844862,820809,813707,818789,824361,835032,844499,860597,873180,883500,894943
 "33000","New Hampshire",1,CAINC4,7020,"..."," Wage and salary employment","Number of jobs",293525,292998,294221,303781,324208,328793,317235,337520,358229,383126,402077,409799,419439,420073,436058,465664,488176,511904,534017,549439,549377,526814,500288,504915,516160,536019,553993,568572,584885,604077,620478,637473,640657,635883,637305,643788,648879,655750,658831,656967,633060,629907,633733,640426,647086,655526,666387,676292,682081,687910
 "33000","New Hampshire",1,CAINC4,7040,"..."," Proprietors employment","Number of jobs",40545,40697,42090,45897,49830,51919,53201,56235,60190,62470,65435,71811,72341,78071,81580,87494,97532,105526,100701,110415,110189,115756,116052,123718,125746,129682,125448,127348,131818,139264,140285,146072,147511,152601,160343,169035,176721,179832,189170,187895,187749,183800,185056,183935,187946,188973,194210,196888,201419,207033
 "33001","Belknap, NH",1,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",121654,130311,146018,161647,183209,202996,222578,251448,283320,327231,373615,424644,472377,515173,559567,631195,688684,777022,864840,955189,1016189,970852,982441,1008763,1075051,1137225,1243072,1310382,1412922,1553391,1643989,1786540,1973771,2019381,2073940,2203897,2269434,2398652,2513000,2605156,2556125,2630615,2791181,2957536,2990258,3137139,3310233,3412790,3531191,3727893
 "33001","Belknap, NH",1,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",120978,129797,145582,161180,182639,202743,222226,251154,283171,327235,373689,424780,472135,514917,559498,630776,688223,776262,864564,954783,1015475,970126,981680,1008090,1074607,1136773,1242816,1310049,1412520,1552886,1643186,1785495,1972996,2018539,2072356,2201797,2267628,2397107,2511332,2603037,2554630,2628934,2789021,2953378,2986061,3134622,3306194,3411281,3529242,3725494
 "33001","Belknap, NH",1,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",676,514,436,467,570,253,352,294,149,-4,-74,-136,242,256,69,419,461,760,276,406,714,726,761,673,444,452,256,333,402,505,803,1045,775,842,1584,2100,1806,1545,1668,2119,1495,1681,2160,4158,4197,2517,4039,1509,1949,2399
 "33001","Belknap, NH",1,CAINC4,20,"...","Population (persons) 3/","Number of persons",31636,32562,33579,34397,35426,36439,36982,38138,39250,41443,42802,42914,42935,43619,44025,44704,45084,46139,47273,48526,49224,49347,49180,49626,50226,50850,51991,53020,53391,54459,55517,56473,57597,58609,59497,60170,60287,60105,60109,60239,60171,60098,60327,60434,60236,60285,60347,60700,60845,61022
 "33001","Belknap, NH",1,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3845,4002,4348,4699,5172,5571,6019,6593,7218,7896,8729,9895,11002,11811,12710,14119,15276,16841,18295,19684,20644,19674,19976,20327,21404,22364,23909,24715,26464,28524,29612,31635,34269,34455,34858,36628,37644,39908,41807,43247,42481,43772,46268,48938,49642,52038,54853,56224,58036,61091
 "33001","Belknap, NH",1,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",93633,98324,108154,118580,134699,144871,150683,170674,191601,221569,250479,273603,290587,307800,344717,397215,437810,504991,588376,656239,672338,616897,596569,612461,643884,700252,749117,792586,871272,989037,1066916,1134875,1268449,1324529,1366443,1420349,1465984,1504730,1518633,1509288,1500160,1515544,1538566,1575246,1628748,1678235,1738712,1773222,1854951,1926531
 "33001","Belknap, NH",1,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",5898,6162,6930,8155,10639,11952,12196,13873,15716,18435,21843,23913,27308,29716,33425,39765,44987,52282,60720,69734,71464,67078,65870,67201,70593,77991,84589,88058,95626,104550,110133,115627,124600,129066,135714,146652,153545,156970,162331,165262,164220,164903,151600,153630,176036,181618,188686,196140,207501,213934
 "33001","Belknap, NH",1,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",3203,3353,3777,4322,5591,6348,6540,7224,8154,9361,11220,12438,14337,15737,17525,20459,23902,27761,32567,37273,38777,36515,36272,37350,39373,43610,47427,49241,53060,57991,61285,63726,69070,72225,76032,80560,84879,86560,90718,93298,91520,90744,75444,76590,99617,104139,110743,115872,123084,128897
 "33001","Belknap, NH",1,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",2695,2809,3153,3833,5048,5604,5656,6649,7562,9074,10623,11475,12971,13979,15900,19306,21085,24521,28153,32461,32687,30563,29598,29851,31220,34381,37162,38817,42566,46559,48848,51901,55530,56841,59682,66092,68666,70410,71613,71964,72700,74159,76156,77040,76419,77479,77943,80268,84417,85037
 "33001","Belknap, NH",1,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",822,852,2353,4172,5744,8209,10667,14235,18049,22765,28400,35332,38474,38902,41272,43111,48127,51988,54008,52451,53593,62787,65565,76400,83164,88390,93270,101687,108127,116242,129882,155291,184544,196053,216588,239502,245723,287422,325090,338172,297509,341026,382981,420714,412645,428617,450460,472925,499443,533923
 "33001","Belknap, NH",1,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",88557,93014,103577,114597,129804,141128,149154,171036,193934,225899,257036,285022,301753,316986,352564,400561,440950,504697,581664,638956,654467,612606,596264,621660,656455,710651,757798,806215,883773,1000729,1086665,1174539,1328393,1391516,1447317,1513199,1558162,1635182,1681392,1682198,1633449,1691667,1769947,1842330,1865357,1925234,2000486,2050007,2146893,2246520
 "33001","Belknap, NH",1,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",22264,24467,26840,29665,32682,36917,39789,44777,52079,59711,69109,84558,104338,125222,128932,148481,160951,182752,191679,218767,255105,241180,235065,226486,261430,245625,290563,308357,326577,343705,340675,376920,387820,348778,341370,384803,386225,412423,453001,489873,449144,440706,527618,605145,596001,653488,709074,727110,735503,798077
