GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "34000","New Jersey",2,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",32504175,35294519,38078118,41394930,45063192,48945152,52877698,57408891,62802139,69699071,77362778,87046739,97264551,105090396,113438476,125567163,134573708,144070388,155341299,170597669,183042974,192163514,195933413,210510235,217595981,225284514,239164930,253062255,269605875,287244012,300854626,330957156,342304134,347456776,356314862,373078596,387392659,415890939,440165578,453018872,439087868,452466405,474015532,491662022,496465021,520079392,542097272,556439938,577080564,607884477
 "34000","New Jersey",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",32401138,35196624,37987523,41308896,44940353,48811591,52783484,57311195,62694445,69576456,77240402,86935636,97119507,104927846,113250464,125371478,134351496,143845871,155088429,170350413,182803449,191928426,195714289,210283042,217341297,225013608,238899666,252776616,269370788,286992037,300634266,330647129,342049870,347184231,356022550,372764391,387069291,415527008,439794721,452698432,438757541,452157111,473682468,491256878,496088275,519776810,541737365,556135191,576814540,607653852
 "34000","New Jersey",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",103037,97895,90595,86034,122839,133561,94214,97696,107694,122615,122376,111103,145044,162550,188012,195685,222212,224517,252870,247256,239525,235088,219124,227193,254684,270906,265264,285639,235087,251975,220360,310027,254264,272545,292312,314205,323368,363931,370857,320440,330327,309294,333064,405144,376746,302582,359907,304747,266024,230625
 "34000","New Jersey",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520
 "34000","New Jersey",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4581,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11801,13131,14142,15190,16708,17788,18902,20251,22120,23692,24754,25072,26713,27374,28110,29588,31052,32804,34660,35989,39257,40306,40626,41425,43208,44775,48015,50723,52005,50149,51419,53696,55583,56045,58655,61110,62701,64924,68236
 "34000","New Jersey",2,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",24174456,26102139,27901715,30447671,33538166,36008650,37745885,41379924,45540642,51062212,56574936,61889637,67762531,72341216,78978762,88003116,95483970,103321187,113281477,125530226,132290164,138126371,139677857,149410971,155419250,161986059,169746173,178344003,188811959,201798426,213357244,234153627,242111326,249787233,257236755,268301034,277308091,290109473,300403475,305490285,300804102,306929632,313040879,325057257,335300449,346994248,358143988,365703577,381242360,395856387
 "34000","New Jersey",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",1828909,1958328,2170286,2484459,3130999,3460896,3543703,3932759,4315581,4987449,5747596,6317104,7368483,7997290,8983120,10427213,11395386,12408210,13524602,15223856,15871219,16024155,16532974,17490599,18116326,19137986,19893511,20744622,21524218,22685478,23765518,25554912,26592891,27298962,27735899,29106383,30543159,31791701,33660139,34557185,33747394,34242763,31436044,32108163,37383583,38484048,39795851,40482035,42222130,43293141
 "34000","New Jersey",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",837469,905100,1002366,1116312,1395567,1554720,1617516,1734717,1901704,2185664,2538417,2836461,3332829,3650418,4023730,4568085,5185183,5769132,6418699,7294127,7777989,7879921,8245548,8664966,8849684,9356350,9841912,10370285,10716891,11448130,12065743,12938158,13490987,14007838,14372869,15132393,15988795,16884321,17734211,18193104,17776731,17929870,14538664,14660467,19410927,20159843,20913219,21525127,22722629,23591185
 "34000","New Jersey",2,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",991440,1053228,1167920,1368147,1735432,1906176,1926187,2198042,2413877,2801785,3209179,3480643,4035654,4346872,4959390,5859128,6210203,6639078,7105903,7929729,8093230,8144234,8287426,8825633,9266642,9781636,10051599,10374337,10807327,11237348,11699775,12616754,13101904,13291124,13363030,13973990,14554364,14907380,15925928,16364081,15970663,16312893,16897380,17447696,17972656,18324205,18882632,18956908,19499501,19701956
 "34000","New Jersey",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",3164643,3117383,3212732,3417929,3513450,3682897,3887311,4061394,4419691,4992087,5706509,6657721,7275032,7760315,8101185,8526060,8951592,9537121,10071146,10488232,10338068,10353627,10312123,12065743,12251278,12233991,13365611,15321480,18081616,19596251,21496265,24547035,25181393,22805780,23053257,26122559,28566005,33853043,40275514,39545192,31110913,35033844,39096690,39742152,40740039,43679772,46412418,47794356,49582514,54770309
