GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "35000","New Mexico",6,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",3143665,3499776,3872418,4353346,4881806,5487270,6267941,6987390,7819801,8947791,10088442,11323005,12799913,14023076,15086136,16471117,17823521,18525003,19308662,20401935,21855372,23301334,24937116,26802835,28827111,30772294,33070567,34741257,36519967,38361236,39275945,42319547,45312296,47089957,49197210,52264441,55838253,59946316,63418444,67242106,66661843,69250210,72820347,74578427,73412311,77722256,79973393,81252406,82733030,87188845
 "35000","New Mexico",6,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3037534,3369900,3744125,4218031,4703651,5342163,6092952,6866077,7687584,8782699,9884100,11145434,12673543,13910452,14962371,16328333,17619448,18334852,19072832,20087565,21478230,22891162,24540742,26325349,28304471,30326044,32690557,34349480,35987857,37787500,38612404,41789636,44536676,46553370,48639621,51403955,54974160,59352326,62565460,66536849,66273017,68385984,71710351,73576407,72445017,76492603,79143562,80401729,81868313,86552828
 "35000","New Mexico",6,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",106131,129876,128293,135315,178155,145107,174989,121313,132217,165092,204342,177571,126370,112624,123765,142784,204073,190151,235830,314370,377142,410172,396374,477486,522640,446250,380010,391777,532110,573736,663541,529911,775620,536587,557589,860486,864093,593990,852984,705257,388826,864226,1109996,1002020,967294,1229653,829831,850677,864717,636017
 "35000","New Mexico",6,CAINC4,20,"...","Population (persons) 3/","Number of persons",1011000,1023206,1053258,1077815,1104225,1129568,1162682,1195162,1225245,1251848,1280539,1309400,1332747,1363822,1394362,1416719,1438360,1462728,1478519,1490336,1503901,1521574,1555305,1595442,1636453,1682398,1720394,1752326,1774839,1793484,1808082,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428
 "35000","New Mexico",6,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3109,3420,3677,4039,4421,4858,5391,5846,6382,7148,7878,8647,9604,10282,10819,11626,12392,12665,13059,13689,14532,15314,16034,16800,17616,18291,19223,19826,20576,21389,21722,23237,24738,25381,26203,27453,28898,30552,31867,33443,32729,33542,35003,35725,35079,37182,38261,38825,39521,41609
 "35000","New Mexico",6,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",2563492,2783763,3055474,3439241,3853342,4266255,4803079,5378513,6076453,6980390,7862380,8598121,9590454,10210113,10856410,11866810,12766408,13156086,13745759,14615784,15562577,16756022,17960578,19359012,20903388,22218422,23600085,24385746,25712672,26996098,27861583,30228667,32290566,33817248,35546339,37919345,40205249,42890714,44766665,46544003,45532981,47116859,48809338,49435909,49441731,51171677,51864551,52151380,52915114,55253962
 "35000","New Mexico",6,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",151720,162616,187914,220159,282151,327826,366356,420392,480862,565438,666950,736453,888461,966161,1034648,1164072,1271116,1327024,1370587,1530181,1648267,1871754,2032204,2165717,2341143,2547139,2718002,2807780,2930757,3083167,3202931,3385560,3623760,3805869,3993822,4205263,4468506,4874168,5135637,5413500,5359388,5452436,5032438,5142176,5918818,6119879,6442852,6457970,6560647,6821944
 "35000","New Mexico",6,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",74511,79446,91292,105090,135924,157539,174898,196125,224509,263282,312189,350520,426402,465983,494092,544138,614601,647324,676639,767406,842627,951149,1040150,1102227,1197339,1307565,1408953,1456062,1518383,1599905,1673570,1768117,1892068,1982125,2081095,2214252,2366787,2588177,2739531,2870085,2838122,2871644,2340818,2389719,3107805,3226665,3313737,3362224,3528690,3733930
 "35000","New Mexico",6,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",77209,83170,96622,115069,146227,170287,191458,224267,256353,302156,354761,385933,462059,500178,540556,619934,656515,679700,693948,762775,805640,920605,992054,1063490,1143804,1239574,1309049,1351718,1412374,1483262,1529361,1617443,1731692,1823744,1912727,1991011,2101719,2285991,2396106,2543415,2521266,2580792,2691620,2752457,2811013,2893214,3129115,3095746,3031957,3088014
 "35000","New Mexico",6,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-21304,-23215,-23559,-21706,-19065,-17246,-13944,-13860,-12268,-12277,-11266,-6176,-15871,-18506,-14131,-5641,755,7807,22288,33013,41491,49323,61446,77305,95661,111034,122098,141755,163180,186498,214830,239771,211622,194085,182267,136172,69723,82385,73360,57608,68483,8261,-20710,-15821,-66581,-73587,-52633,-8076,89564,97805
 "35000","New Mexico",6,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",2390468,2597932,2844001,3197376,3552126,3921183,4422779,4944261,5583323,6402675,7184164,7855492,8686122,9225446,9807631,10697097,11496047,11836869,12397460,13118616,13955801,14933591,15989820,17270600,18657906,19782317,21004181,21719721,22945095,24099429,24873482,27082878,28878428,30205464,31734784,33850254,35806466,38098931,39704388,41188111,40242076,41672684,43756190,44277912,43456332,44978211,45369066,45685334,46444031,48529823
 "35000","New Mexico",6,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",492455,576415,650523,733845,829900,965362,1107037,1214986,1364187,1589139,1801250,2152515,2612013,3146414,3474537,3846832,4263308,4465678,4560989,4762872,5103556,5319621,5530143,5733362,6050980,6560110,7188166,7699062,8137490,8542734,8351800,8813697,9265113,9011700,9032122,9422260,10327787,11261991,12193475,12809156,11752869,11698739,13001201,14282833,13777339,15019405,15490893,16005176,16757262,17976423
 "35000","New Mexico",6,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",260742,325429,377894,422125,499780,600725,738125,828143,872291,955977,1103028,1314998,1501778,1651216,1803968,1927188,2064166,2222456,2350213,2520447,2796015,3048122,3417153,3798873,4118225,4429867,4878220,5322474,5437382,5719073,6050663,6422972,7168755,7872793,8430304,8991927,9704000,10585394,11520581,13244839,14666898,15878787,16062956,16017682,16178640,17724640,19113434,19561896,19531737,20682599
 "35000","New Mexico",6,CAINC4,50,"...","Wages and salaries","Thousands of dollars",1964725,2108749,2304215,2578487,2869265,3201264,3578310,4067154,4586116,5257274,5941897,6591138,7435625,7943119,8335716,9022360,9631324,9921639,10342393,10889099,11453055,12299959,13059230,13870597,14888712,16037673,17183832,17794457,18768375,19828841,20521192,21943058,23288778,24318323,25451142,27005895,28708801,30783334,32521540,34012587,33240669,33508566,34175198,34992571,35407200,36622620,37454749,37608839,38579384,40550511
 "35000","New Mexico",6,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",263986,295393,348317,404964,459056,523500,610553,694844,799471,916736,1063215,1187693,1374623,1513822,1655640,1827988,1999919,2101442,2142772,2350119,2587209,2881391,3115866,3517738,3749421,3984658,4128706,4176158,4295361,4484803,4621640,4958395,5194663,5675576,6144514,6613753,7138529,7440502,7800646,8118399,8080394,8495337,8820036,9138467,9077643,9108331,9501242,9806105,9413432,9728025
 "35000","New Mexico",6,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",186777,212223,251695,289895,312829,353213,419095,470577,543118,614580,708454,801760,912564,1013644,1115084,1208054,1343404,1421742,1448824,1587344,1781569,1960786,2123812,2454248,2605617,2745084,2819657,2824440,2882987,3001541,3092279,3340952,3462971,3851832,4231787,4622742,5036810,5154511,5404540,5574984,5559128,5914545,6128416,6386010,6266630,6215117,6372127,6710359,6381475,6640011
 "35000","New Mexico",6,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",77209,83170,96622,115069,146227,170287,191458,224267,256353,302156,354761,385933,462059,500178,540556,619934,656515,679700,693948,762775,805640,920605,992054,1063490,1143804,1239574,1309049,1351718,1412374,1483262,1529361,1617443,1731692,1823744,1912727,1991011,2101719,2285991,2396106,2543415,2521266,2580792,2691620,2752457,2811013,2893214,3129115,3095746,3031957,3088014
 "35000","New Mexico",6,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",334781,379621,402942,455790,525021,541491,614216,616515,690866,806380,857268,819290,780206,753172,865054,1016462,1135165,1133005,1260594,1376566,1522313,1574672,1785482,1970677,2265255,2196091,2287547,2415131,2648936,2682454,2718751,3327214,3807125,3823349,3950683,4299697,4357919,4666878,4444479,4413017,4211918,5112956,5814104,5304871,4956888,5440726,4908560,4736436,4922298,4975426
 "35000","New Mexico",6,CAINC4,71,"..."," Farm proprietors' income","Thousands of dollars",73142,97675,96845,103476,139470,105342,131747,72060,84830,103023,137002,108405,58960,41656,53046,69858,127966,116707,159053,229722,288674,309405,300440,382405,413513,306263,230315,246720,360499,405450,501245,347113,590910,328095,373740,662566,637980,375928,598142,470732,125731,634589,880379,744720,680473,952981,594604,576510,584879,338569
 "35000","New Mexico",6,CAINC4,72,"..."," Nonfarm proprietors' income","Thousands of dollars",261639,281946,306097,352314,385551,436149,482469,544455,606036,703357,720266,710885,721246,711516,812008,946604,1007199,1016298,1101541,1146844,1233639,1265267,1485042,1588272,1851742,1889828,2057232,2168411,2288437,2277004,2217506,2980101,3216215,3495254,3576943,3637131,3719939,4290950,3846337,3942285,4086187,4478367,4933725,4560151,4276415,4487745,4313956,4159926,4337419,4636857
 "35000","New Mexico",6,CAINC4,7010,"...","Total employment","Number of jobs",394799,398899,416073,440381,460680,478009,490785,512389,538969,568233,592146,597041,610846,619089,631355,655141,674150,679909,698586,733303,748614,761396,784294,796829,825122,856994,898187,908725,922830,937525,942297,964919,976506,984376,1003002,1027003,1050191,1079132,1103300,1105447,1072062,1059977,1064267,1067211,1075465,1083772,1091984,1092637,1097669,1115574
 "35000","New Mexico",6,CAINC4,7020,"..."," Wage and salary employment","Number of jobs",337571,339603,355539,376041,394233,408416,418313,438255,461295,488428,510745,512147,521975,525039,532446,554302,570061,573919,581044,593828,609426,629982,637094,654018,676946,705333,734041,738072,748152,758654,765160,781167,792124,801301,812456,828953,844235,867019,876593,879295,845420,836523,836180,839254,846495,852638,859962,861216,862809,875574
 "35000","New Mexico",6,CAINC4,7040,"..."," Proprietors employment","Number of jobs",57228,59296,60534,64340,66447,69593,72472,74134,77674,79805,81401,84894,88871,94050,98909,100839,104089,105990,117542,139475,139188,131414,147200,142811,148176,151661,164146,170653,174678,178871,177137,183752,184382,183075,190546,198050,205956,212113,226707,226152,226642,223454,228087,227957,228970,231134,232022,231421,234860,240000
 "35001","Bernalillo, NM",6,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1101346,1252045,1412096,1618026,1797768,2010334,2261502,2536990,2815941,3245820,3663322,4107405,4601586,5038034,5500596,6061006,6626701,7030704,7419445,7843596,8270225,8824492,9415060,10066307,10810437,11668392,12506654,13098076,13694667,14274985,14581725,15690423,16404232,17017998,17812026,18873340,20047147,21630584,22426229,23340588,23202585,23595360,24626317,24929751,24554918,26097903,27109332,28117016,28580510,29901472
 "35001","Bernalillo, NM",6,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",1098620,1248634,1409047,1615540,1794579,2004186,2256698,2534022,2813151,3239603,3654955,4097277,4588332,5027408,5492660,6050981,6621487,7022719,7414742,7836329,8258144,8811785,9400726,10058604,10798791,11659697,12498697,13085852,13684932,14263794,14571207,15684360,16397086,17010595,17806618,18865128,20041756,21626087,22420229,23336913,23199380,23591885,24621001,24925097,24553737,26096716,27108567,28116705,28581435,29904237
 "35001","Bernalillo, NM",6,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",2726,3411,3049,2486,3189,6148,4804,2968,2790,6217,8367,10128,13254,10626,7936,10025,5214,7985,4703,7267,12081,12707,14334,7703,11646,8695,7957,12224,9735,11191,10518,6063,7146,7403,5408,8212,5391,4497,6000,3675,3205,3475,5316,4654,1181,1187,765,311,-925,-2765
 "35001","Bernalillo, NM",6,CAINC4,20,"...","Population (persons) 3/","Number of persons",314700,318277,331206,339666,353816,365412,371719,380717,392444,399597,410992,422295,430023,433469,441597,447307,452555,459938,468550,472977,478795,482696,492880,505395,515914,528842,538615,544201,547997,551298,553002,557601,564241,576532,587049,600449,615320,628632,638978,646879,655279,663948,670278,673697,676497,676229,676678,678165,678686,678701
 "35001","Bernalillo, NM",6,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3500,3934,4263,4764,5081,5502,6084,6664,7175,8123,8913,9726,10701,11623,12456,13550,14643,15286,15835,16583,17273,18282,19102,19918,20954,22064,23220,24068,24990,25893,26368,28139,29073,29518,30342,31432,32580,34409,35097,36082,35409,35538,36740,37004,36297,38593,40062,41460,42112,44057
 "35001","Bernalillo, NM",6,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",921183,1023586,1147901,1328441,1478273,1627984,1797402,2029886,2277697,2650509,2997461,3288471,3640843,3934280,4367242,4844579,5313611,5659989,6016077,6419375,6776566,7241289,7725498,8344016,9004724,9704584,10366910,10801520,11327287,11910345,12283728,13279567,13837809,14465306,15210987,16150447,16925437,18122578,18671258,19189118,19087814,19011539,19374642,19449640,19321113,20194683,20902361,22010117,22262003,23027235
 "35001","Bernalillo, NM",6,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",57546,63512,74820,90545,115979,130421,143234,165059,187353,224816,266783,292034,344992,380096,430714,492336,552121,594351,627309,691496,736193,837233,901660,967186,1043820,1148453,1231832,1282100,1340365,1408187,1460317,1538558,1613779,1683676,1761098,1845644,1939131,2092404,2179007,2264937,2251101,2251393,2051622,2092140,2406240,2493766,2669452,2752215,2769189,2823642
 "35001","Bernalillo, NM",6,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",27608,30280,35357,41887,54381,61737,67641,75589,85945,102484,122347,136721,163622,181339,202710,226626,262228,284218,303449,339782,367105,417474,452895,482000,522997,574172,619266,644220,672472,708893,742162,779192,820873,853923,895321,950665,1000462,1080200,1129195,1166476,1160346,1145606,909487,928108,1220110,1267703,1320257,1379503,1443609,1500728
