GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "32000","Nevada",8,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2278607,2560413,2860381,3196764,3630058,4025238,4543971,5170461,5977935,7225731,8374582,9682781,11011840,11762109,12530021,13652075,14799444,15988531,17473700,19842874,22352474,25043313,27515308,30479309,32966024,36485543,40138314,44435100,48572668,54281274,58607267,64339627,67862421,69626704,74202223,82501218,92671063,100383713,104564619,102785548,96858597,100605772,104579440,108825145,109055072,116945295,126408020,131294012,139448526,149218639
 "32000","Nevada",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",2246715,2526648,2825997,3154842,3575008,3991252,4511478,5135541,5951376,7203559,8366479,9626640,10984812,11730397,12506207,13618961,14773097,15963252,17428595,19781631,22277465,24965696,27444626,30411655,32853130,36410371,40075437,44372076,48510186,54196410,58531111,64239217,67748259,69539991,74112944,82378622,92540600,100259182,104472947,102643637,96739549,100467884,104379405,108717735,108946305,116741281,126267204,131223034,139347892,149120424
 "32000","Nevada",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",31892,33765,34384,41922,55050,33986,32493,34920,26559,22172,8103,56141,27028,31712,23814,33114,26347,25279,45105,61243,75009,77617,70682,67654,112894,75172,62877,63024,62482,84864,76156,100410,114162,86713,89279,122596,130463,124531,91672,141911,119048,137888,200035,107410,108767,204014,140816,70978,100634,98215
 "32000","Nevada",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392
 "32000","Nevada",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4747,5191,5501,5847,6381,6746,7331,7994,8815,10045,10945,11951,12991,13343,13892,14760,15561,16305,17075,18458,19653,20516,21228,22554,23360,24335,25379,26667,27534,29291,30292,31871,32340,32030,32996,35163,38103,39793,40201,38734,36078,37227,38550,39651,39271,41484,44065,44967,46914,49176
 "32000","Nevada",8,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",1956307,2168765,2400965,2676619,3065689,3335176,3679056,4214075,4936247,6017153,6959207,7933570,8856709,9148458,9682670,10549369,11380848,12311330,13649066,15701386,17485134,19675098,21184739,23352868,25382517,28073289,30738496,34016971,37228162,41805772,45862373,49672836,52541924,53832018,56641413,62868066,69781044,75566961,77595255,73776095,69109233,71517301,73058421,74125264,76087846,79650314,84595099,87678750,92641865,98724016
 "32000","Nevada",8,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",131902,144281,164929,194103,256489,287761,312805,368109,439187,555265,680755,778011,930813,953021,1048850,1191131,1312734,1452164,1615226,1873091,2118918,2496576,2660377,2889657,3162652,3534085,3879369,4195506,4476746,4785142,5085698,4986377,5291595,5481764,5567603,6092690,6695542,7751002,8179334,7698678,7418853,7311273,6915186,7274018,8005871,8811786,9390964,9844284,10243004,10846882
 "32000","Nevada",8,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",53485,58084,65980,76699,102292,116145,125456,143540,169981,211044,262061,304041,371268,389152,414992,462603,527947,586562,657449,774847,893047,1061984,1130785,1210091,1328553,1498916,1666817,1833300,1977106,2137785,2342022,2493540,2666427,2764600,2819416,3098593,3407232,3947256,4178969,3965272,3840275,3828213,3140067,3254077,4106441,4554992,4839859,5115928,5344985,5718858
 "32000","Nevada",8,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",78417,86197,98949,117404,154197,171616,187349,224569,269206,344221,418694,473970,559545,563869,633858,728528,784787,865602,957777,1098244,1225871,1434592,1529592,1679566,1834099,2035169,2212552,2362206,2499640,2647357,2743676,2492837,2625168,2717164,2748187,2994097,3288310,3803746,4000365,3733406,3578578,3483060,3775119,4019941,3899430,4256794,4551105,4728356,4898019,5128024
 "32000","Nevada",8,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-33430,-38680,-40857,-43999,-53550,-55962,-57869,-67735,-83963,-116253,-131887,-159830,-166785,-168176,-177318,-189887,-200318,-217416,-239766,-281219,-325935,-376526,-345477,-305112,-343763,-353656,-348759,-368093,-328023,-349767,-381954,-338160,-354243,-363573,-409759,-494280,-548835,-473923,-399793,-320538,-307701,-251780,-145368,-156773,-136225,-176877,-124843,-213403,-170038,-221933
