GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "36000","New York",2,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",83626257,89895425,96121001,102833594,109571703,118064617,127413860,134980837,145640377,158583699,173361931,193258499,215680555,234418022,252683225,279483612,299163538,319479383,340642807,373665398,403909989,432317759,432542636,457271416,470053879,484730601,510818279,537881580,567955826,600601092,635835163,684590057,709767275,708251729,718318685,751244750,782613026,844018820,909175226,928501934,912779049,950069105,1004130275,1056671153,1069556538,1115352192,1162801418,1202568500,1286022822,1341931964
 "36000","New York",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",83192384,89481726,95718028,102487862,109110764,117631995,127044279,134592266,145322310,158164315,172837314,192742335,215152206,233912994,252329515,279008412,298621702,318842816,339931498,373042161,403160052,431576164,431931714,456559520,469300913,484101382,510324009,537157165,567542396,599956947,635104832,683857970,708890836,707593383,717491682,750203977,781596687,843146824,907938893,927075460,911913542,948632637,1002375600,1054940707,1067466133,1113252274,1161541709,1201559392,1284637659,1341057389
 "36000","New York",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",433873,413699,402973,345732,460939,432622,369581,388571,318067,419384,524617,516164,528349,505028,353710,475200,541836,636567,711309,623237,749937,741595,610922,711896,752966,629219,494270,724415,413430,644145,730331,732087,876439,658346,827003,1040773,1016339,871996,1236333,1426474,865507,1436468,1754675,1730446,2090405,2099918,1259709,1009108,1385163,874575
 "36000","New York",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209
 "36000","New York",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4619,4920,5234,5603,6022,6533,7066,7510,8158,8949,9831,11001,12277,13327,14286,15749,16815,17915,19064,20827,22461,23990,23868,25061,25581,26259,27576,28936,30443,32022,33673,36028,37194,37008,37459,39185,40905,44179,47520,48328,47277,48972,51498,53982,54491,56743,59141,61226,65644,68668
 "36000","New York",2,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",70803749,75179247,79497388,85214226,90942602,96174857,100823878,107099769,115975087,127737172,140490034,153863806,168824908,181202665,195439621,215516567,233242093,252207346,273613065,301407791,318320493,338594370,333371632,356109135,364426623,373397731,390641156,412852549,441171536,469693251,505520129,548638706,572190478,568797371,574124515,600415292,620245263,664144387,712535089,718656257,696322777,733079453,762975496,798315181,819356563,849090084,878071518,906493668,960883323,1005027169
 "36000","New York",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",5290691,5533970,6030064,6795828,8413052,9188152,9452237,10248139,11010412,12375248,14082455,15429586,18083435,19681230,21224061,23937252,26271630,28844078,30679633,34031446,35480523,35787073,36733317,38352967,39223255,40888769,42380833,43657712,45605577,47879824,50241586,54136576,56439048,57355886,59157857,62072631,64893755,68629118,72625473,75326751,73029289,74823119,68971060,70737515,83124881,87657079,91577347,93964174,99411818,102942908
 "36000","New York",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",2460469,2586245,2810802,3091444,3821585,4213201,4373023,4607078,4922950,5469590,6277143,6934435,8230698,9002601,9665273,10636945,12076708,13382996,14365843,16043651,17000378,17121982,17681305,18351246,18806783,19646981,20641147,21352978,22530802,23737501,25199464,27025328,28105928,28432117,29241119,30710168,32386111,34486555,36839939,38231597,37325747,38214460,31063938,31651656,42442669,44559732,46656587,48323378,51645914,54121727
 "36000","New York",2,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",2830222,2947725,3219262,3704384,4591467,4974951,5079214,5641061,6087462,6905658,7805312,8495151,9852737,10678629,11558788,13300307,14194922,15461082,16313790,17987795,18480145,18665091,19052012,20001721,20416472,21241788,21739686,22304734,23074775,24142323,25042122,27111248,28333120,28923769,29916738,31362463,32507644,34142563,35785534,37095154,35703542,36608659,37907122,39085859,40682212,43097347,44920760,45640796,47765904,48821181
 "36000","New York",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-3436635,-3394764,-3518307,-3785947,-3918564,-4119603,-4405639,-4662913,-5197495,-5879002,-6758434,-7853922,-8520633,-9314664,-9878895,-10582214,-11352046,-11968897,-12770796,-13697771,-13757974,-13470725,-13448223,-16580375,-16351004,-16345064,-18577479,-21429738,-23990395,-27292787,-28503108,-32299036,-33136832,-30952046,-31551264,-36227480,-40206593,-46842264,-55897849,-56377481,-43993043,-50245939,-53963637,-56380011,-56259657,-60206914,-62857995,-64442896,-68730285,-76915677
