GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "39000","Ohio",3,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",41801043,44141934,46980368,50967906,56552390,61925206,66162182,72597505,80397208,88854711,98136026,107184471,116652387,122081467,129132533,142661132,151425559,158492982,166090329,178267540,191708347,202979644,207676873,221201352,230366365,243306753,255101076,267147166,282808993,299234149,309198719,325803018,334533571,339645273,349608853,362916264,373440521,392156623,408493748,421412058,409648029,422046231,451011097,469260760,475776292,496069286,515138454,524043732,544140701,569726734
 "39000","Ohio",3,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",41386930,43710651,46569253,50466132,55890918,61133783,65355502,71819493,79732562,88237180,97385127,106619879,116495633,121820394,129216448,141803873,150572552,157824452,165375211,177504737,190561769,201805381,207007369,220053395,229470851,242182181,254249676,265932464,281158725,297994769,308384814,324622347,333431743,339086574,348843177,361532580,372398336,391248454,407364490,420208294,408132286,420530191,448219659,467408489,472813490,494228430,514637780,523506659,543364415,568565164
 "39000","Ohio",3,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",414113,431283,411115,501774,661472,791423,806680,778012,664646,617531,750899,564592,156754,261073,-83915,857259,853007,668530,715118,762803,1146578,1174263,669504,1147957,895514,1124572,851400,1214702,1650268,1239380,813905,1180671,1101828,558699,765676,1383684,1042185,908169,1129258,1203764,1515743,1516040,2791438,1852271,2962802,1840856,500674,537073,776286,1161570
 "39000","Ohio",3,CAINC4,20,"...","Population (persons) 3/","Number of persons",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442
 "39000","Ohio",3,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3957,4137,4376,4743,5252,5752,6143,6752,7464,8231,9088,9924,10813,11349,12026,13286,14106,14771,15436,16508,17703,18683,18973,20056,20752,21816,22771,23762,25078,26454,27277,28671,29378,29773,30574,31690,32577,34156,35520,36596,35532,36575,39071,40634,41098,42754,44340,45040,46651,48739
 "39000","Ohio",3,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",35842808,37169979,39049787,42547164,47515685,51227604,53001347,58820082,65718128,73130390,80435303,83894784,89320865,90318359,95229885,106678371,113903546,119629367,126623982,136896132,145654241,153275603,156786335,167858269,175267189,186265239,193879348,202348485,214221279,227490743,238238407,249957751,255678501,260039983,268192856,280106541,285907113,297127773,305348943,308907846,296655648,305315752,322818220,336529986,348397278,358315158,369861883,375606691,390791061,406561570
 "39000","Ohio",3,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",2359714,2407979,2603286,2985256,3863634,4310272,4336259,4941558,5553864,6396502,7321615,7611739,8708161,8899666,9612539,10932297,11869827,12856289,13614404,15148979,16208707,17415438,18308223,19470050,20591618,22172137,23352826,24061699,24789681,25558176,26717261,27074207,27709526,27770249,28879457,30584732,31413425,32779867,33588342,34516209,33450097,33656326,31791462,32845698,36901436,38048358,39393553,41005906,43396698,44487599
 "39000","Ohio",3,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",1109621,1138893,1230240,1373478,1768360,1980160,2011740,2222238,2466534,2802530,3248898,3436379,3986523,4098736,4313318,4809874,5367923,5831106,6204044,6907239,7476042,7988086,8394856,8852305,9369228,10169223,10752102,11143096,11787653,12453361,13088459,13553470,13780692,14108511,14378340,14941803,15556855,16352700,16908704,17301015,16620387,16879070,14101571,14629547,19130636,20059139,20823748,21511162,22685818,23674051
 "39000","Ohio",3,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",1250093,1269086,1373046,1611778,2095274,2330112,2324519,2719320,3087330,3593972,4072717,4175360,4721638,4800930,5299221,6122423,6501904,7025183,7410360,8241740,8732665,9427352,9913367,10617745,11222390,12002914,12600724,12918603,13002028,13104815,13628802,13520737,13928834,13661738,14501117,15642929,15856570,16427167,16679638,17215194,16829710,16777256,17689891,18216151,17770800,17989219,18569805,19494744,20710880,20813548
 "39000","Ohio",3,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-199500,-183269,-133786,-133101,-158449,-133690,-93346,-108157,-113828,-135629,-171548,-194166,-482634,-608982,-711202,-842205,-918612,-951925,-994609,-1041900,-1105097,-1093056,-1114802,-1229965,-1327384,-1450366,-1490901,-1546151,-1643521,-1819320,-1788586,-1748567,-1736682,-1757962,-1770870,-1716204,-1731419,-1885416,-1974132,-1964716,-1836942,-1795237,-1922474,-1888327,-2315610,-2554818,-2617736,-2661789,-2441684,-1935808
 "39000","Ohio",3,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",33283594,34578731,36312715,39428807,43493602,46783642,48571742,53770367,60050436,66598259,72942140,76088879,80130070,80809711,84906144,94903869,101115107,105821153,112014969,120705253,128340437,134767109,137363310,147158254,153348187,162642736,169035621,176740635,187788077,200113247,209732560,221134977,226232293,230511772,237542529,247805605,252762269,262462490,269786469,272426921,261368609,269864189,289104284,301795961,309180232,317711982,327850594,331938996,344952679,360138163
