GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "40000","Oklahoma",6,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",8454824,9325575,10163611,11153394,12652931,14079579,15735744,17348684,19295941,21896038,25414785,29278754,34204111,38175757,39077210,41927021,43605482,43881454,43753615,45620330,48521160,51121318,52677463,56033875,58247034,60818012,63426687,67222981,71074659,74885376,76914507,83237958,88286894,90204416,94319808,101746716,111113427,123473496,127864088,141505916,131370963,137392751,147889540,158353871,166063342,176621935,172992075,164418995,171597366,182301870
 "40000","Oklahoma",6,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",8180836,8968454,9830533,10737968,11921710,13630909,15335850,17015834,19118119,21727195,24785902,29019324,33879103,37694057,38868485,41557283,43229752,43242862,43196860,44863270,47728182,50269343,52064055,55198477,57390588,60002945,63152002,66874488,70423396,74376820,76087054,82417119,87482085,89234145,93369925,100497968,109823935,122796737,127208842,140741280,131332899,136606722,146570428,156632849,164318036,174065537,171141107,163532008,170668821,181660396
 "40000","Oklahoma",6,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",273988,357121,333078,415426,731221,448670,399894,332850,177822,168843,628883,259430,325008,481700,208725,369738,375730,638592,556755,757060,792978,851975,613408,835398,856446,815067,274685,348493,651263,508556,827453,820839,804809,970271,949883,1248748,1289492,676759,655246,764636,38064,786029,1319112,1721022,1745306,2556398,1850968,886987,928545,641474
 "40000","Oklahoma",6,CAINC4,20,"...","Population (persons) 3/","Number of persons",2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079
 "40000","Oklahoma",6,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3335,3634,3882,4197,4696,5153,5677,6145,6733,7517,8557,9629,11047,11907,11876,12761,13330,13491,13630,14405,15402,16235,16589,17399,17910,18537,19173,20126,21072,21992,22377,24096,25464,25853,26911,28862,31312,34355,35182,38568,35338,36544,39043,41469,43097,45540,44245,41871,43634,46233
 "40000","Oklahoma",6,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",6675751,7255716,7819033,8663553,9875429,10830775,11888966,13147572,14772784,16912837,19762035,22413295,25951715,28508561,28356848,30350650,31208018,31360225,31245274,32714576,34579523,36596599,37738444,40174828,41982343,43564779,44703852,47376661,50613032,53397021,54842686,59043757,62898658,64571963,67855959,74053812,81182717,89613091,90453078,100693765,91216862,95579384,102451534,110266758,119824604,127646436,122432863,113242462,118674395,126529984
 "40000","Oklahoma",6,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",401423,430587,483555,557780,720200,845328,927531,1054229,1197712,1418028,1688124,1970826,2450065,2747662,2738941,2968540,3108688,3161435,3181082,3498187,3730712,4066193,4324351,4549795,4797962,5058091,5275511,5473815,5733667,6032894,6218019,6599721,7047315,7256379,7472677,7997921,8476381,9115668,9592885,10043832,9852370,10092092,9729618,10320293,11897321,12224014,12302557,12340050,12856018,13596042
 "40000","Oklahoma",6,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",213161,228163,254796,288108,374704,439680,480058,527258,600832,707489,845163,993483,1244665,1390873,1371670,1460554,1574040,1605331,1619673,1788820,1933144,2086555,2223399,2336804,2430034,2568846,2680005,2799727,2972748,3158378,3293291,3479513,3683285,3762537,3825059,4040503,4324550,4735789,5042774,5335890,5236277,5357358,4460121,4652168,6085079,6395142,6515671,6566577,6881769,7370522
 "40000","Oklahoma",6,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",188262,202424,228759,269672,345496,405648,447473,526971,596880,710539,842961,977343,1205400,1356789,1367271,1507986,1534648,1556104,1561409,1709367,1797568,1979638,2100952,2212991,2367928,2489245,2595506,2674088,2760919,2874516,2924728,3120208,3364030,3493842,3647618,3957418,4151831,4379879,4550111,4707942,4616093,4734734,5269497,5668125,5812242,5828872,5786886,5773473,5974249,6225520
 "40000","Oklahoma",6,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",64025,65164,64113,73057,82775,106361,141896,176892,152396,148824,161905,169770,197590,203692,240525,288662,330630,381606,428495,477798,504678,568387,597203,618431,656662,713868,746563,779482,858701,892751,938922,1018803,1013994,986582,967672,950012,912281,884117,848225,792980,681730,614695,563848,554791,474480,464937,424993,464898,459406,460955
