GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "41000","Oregon",8,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",7832186,8537112,9382814,10511429,11845440,13431788,14919665,16821714,18812438,21563442,24392255,27030379,29169608,30006197,31906148,34585003,36320768,38221702,40194469,43775754,48095052,51940747,54674252,58477046,62590764,67029794,72165942,77845034,82657354,87373658,90929556,97954596,100698408,101954322,105567714,111503067,117413583,128145413,134019593,139695875,135132196,138618043,146432157,154408518,156977053,168408760,181491700,190240952,200579203,213070136
 "41000","Oregon",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",7608984,8323854,9181464,10255526,11478745,12959935,14533017,16460900,18502096,21255848,24012830,26562868,28773775,29722450,31614982,34194351,35905068,37683629,39693348,43089882,47442495,51257612,53982718,57786471,61781286,66292348,71524761,77051721,81749080,86561929,90172022,97197776,99930510,101178762,104502792,110308187,116234068,126878006,132776438,138499281,134117528,137673374,145250386,153098456,155446859,166926353,179819317,188735898,199580613,212084162
 "41000","Oregon",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",223202,213258,201350,255903,366695,471853,386648,360814,310342,307594,379425,467511,395833,283747,291166,390652,415700,538073,501121,685872,652557,683135,691534,690575,809478,737446,641181,793313,908274,811729,757534,756820,767898,775560,1064922,1194880,1179515,1267407,1243155,1196594,1014668,944669,1181771,1310062,1530194,1482407,1672383,1505054,998590,985974
 "41000","Oregon",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713
 "41000","Oregon",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3798,4065,4364,4788,5291,5889,6418,7091,7712,8592,9461,10234,10933,11260,12026,12970,13590,14243,14881,15969,17235,18159,18670,19546,20452,21475,22663,23974,25015,26063,26792,28561,29037,29019,29759,31238,32496,34909,36003,37067,35481,36122,37821,39601,40015,42483,45182,46498,48372,50843
 "41000","Oregon",8,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",6451132,6820919,7436758,8424168,9547742,10650830,11446752,13099136,14778338,17108354,19383962,20793402,21578295,21368509,22543438,24707450,26037285,27743866,29649019,32817237,35571130,38896205,40985069,44088746,47210961,50731563,53961431,58664779,63045723,67000387,70515926,76476184,77901978,78894907,81756974,86829161,91519433,98744922,102283841,103224199,97632523,99547883,103598133,109893780,113769402,119693570,128375948,135448433,143105451,150672278
 "41000","Oregon",8,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",481639,504549,568523,679157,879530,1002415,1056493,1234226,1420375,1692653,1986729,2126674,2368934,2402861,2558039,2890156,3070160,3250533,3437803,3930997,4271754,4791442,5106449,5459133,5830201,6321839,6789293,7451883,7909560,8365892,8725945,9417230,9449281,9605017,9913988,10617007,11208388,12041905,12548793,12716501,12203628,12551370,11569438,12111936,14201431,15043027,15896353,16658342,17881528,18512452
 "41000","Oregon",8,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",213020,224787,250587,294686,381029,438857,467851,526282,602915,708248,835185,906541,1024672,1054962,1108318,1219213,1351988,1455652,1567906,1821112,2035545,2285773,2461834,2606651,2771280,3016495,3254116,3474714,3718687,3930829,4132997,4404028,4500813,4586180,4699005,5006006,5379006,5874753,6186444,6315282,6060902,6158038,5079312,5273897,7013846,7470935,7959905,8407223,9054434,9538689
 "41000","Oregon",8,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",268619,279762,317936,384471,498501,563558,588642,707944,817460,984405,1151544,1220133,1344262,1347899,1449721,1670943,1718172,1794881,1869897,2109885,2236209,2505669,2644615,2852482,3058921,3305344,3535177,3977169,4190873,4435063,4592948,5013202,4948468,5018837,5214983,5611001,5829382,6167152,6362349,6401219,6142726,6393332,6490126,6838039,7187585,7572092,7936448,8251119,8827094,8973763
 "41000","Oregon",8,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-82114,-62621,-51560,-45092,-50145,-58141,-31127,-15348,-74227,-127911,-177529,-217995,-268456,-257869,-246265,-285586,-314956,-370778,-433401,-501016,-561788,-618066,-682910,-779518,-874978,-941139,-1119283,-1354772,-1540332,-1663632,-1757016,-1998797,-2110990,-2190262,-2367909,-2593911,-2885429,-3274417,-3545631,-3666728,-3489946,-3370645,-3702636,-3913659,-3908970,-3890075,-4181100,-4578455,-4712825,-4901362
 "41000","Oregon",8,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",5887379,6253749,6816675,7699919,8618067,9590274,10359132,11849562,13283736,15287790,17219704,18448733,18940905,18707779,19739134,21531708,22652169,24122555,25777815,28385224,30737588,33486697,35195710,37850095,40505782,43468585,46052855,49858124,53595831,56970863,60032965,65060157,66341707,67099628,69475077,73618243,77425616,83428600,86189417,86840970,81938949,83625868,88326059,93868185,95659001,100760468,108298495,114211636,120511098,127258464
 "41000","Oregon",8,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",1282718,1478707,1633995,1789065,2014736,2345680,2659633,2901014,3289530,3831403,4432294,5325519,6461395,7051754,7603368,8340094,8737388,9079144,9219499,9859408,11274095,11839214,12153438,12476431,13380894,14524756,16102043,17334900,18098710,19004092,18490401,19845065,19704310,19033872,19833615,21155179,22318994,25712388,27409373,29144407,26112164,25710452,28419530,30881216,30569164,33987196,37341389,39163754,42280184,45806572
 "41000","Oregon",8,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",662089,804656,932144,1022445,1212637,1495834,1900900,2071138,2239172,2444249,2740257,3256127,3767308,4246664,4563646,4713201,4931211,5020003,5197155,5531122,6083369,6614836,7325104,8150520,8704088,9036453,10011044,10652010,10962813,11398703,12406190,13049374,14652391,15820822,16259022,16729645,17668973,19004425,20420803,23710498,27081083,29281723,29686568,29659117,30748888,33661096,35851816,36865562,37787921,40005100
 "41000","Oregon",8,CAINC4,50,"...","Wages and salaries","Thousands of dollars",4867891,5171189,5607998,6289418,7092135,7840080,8431015,9596898,10914604,12625323,14329989,15354951,16054435,15971955,16615362,17978070,18854384,19914787,21335539,23435321,25408235,27653906,28980447,30906900,32842772,35408538,38340754,41679478,45225579,47926280,50950564,55205663,55728283,55852595,57246037,60498099,64328444,68962522,72685962,73776161,69788357,70863621,73912672,77112304,80131040,85059610,91038721,95827554,101213384,107013803
 "41000","Oregon",8,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",637273,696032,801766,951515,1106283,1255999,1440471,1673462,1990241,2350700,2715501,2949836,3193179,3326328,3612070,3983499,4301566,4658383,4958835,5513460,6166324,6876848,7413951,8325405,8849894,9406545,9791789,10527747,11029834,11707717,12171219,13542037,14318377,14608720,15377770,16223752,16909780,18035291,18857414,19176114,18944233,18785167,19073536,20551640,20858073,21039544,22374129,23484754,24533894,25624956
