GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "42000","Pennsylvania",2,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",45346106,48843711,51835461,56579789,62032948,68133164,74472731,81283216,89174091,98271999,108706050,119088365,131482121,140474119,147180811,158975274,168415810,177108098,187611091,203157551,220029706,232898680,242566278,256051946,265789353,275144867,287676365,302375613,317520134,334639484,348920120,373357070,388047055,395409363,408889660,432741604,451950374,475815289,505303602,523556674,511617927,534469857,563434875,587521891,592973388,619388021,644119451,659803448,679731095,720073441
 "42000","Pennsylvania",2,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",44978093,48460506,51504543,56237265,61554061,67676793,74054765,80775156,88714908,97775245,108074651,118674425,130857186,139922679,146832397,158141588,167584122,176236308,186744289,202432146,219052705,231921121,241858101,254876831,264789695,274256340,287067752,301289770,316785421,333777175,348128417,372280520,387067637,394803547,407694970,431233298,450617931,474715623,504035334,522249921,510722812,533182652,561699534,585518029,590721368,616822937,642540035,659081069,678270359,719142937
 "42000","Pennsylvania",2,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",368013,383205,330918,342524,478887,456371,417966,508060,459183,496754,631399,413940,624935,551440,348414,833686,831688,871790,866802,725405,977001,977559,708177,1175115,999658,888527,608613,1085843,734713,862309,791703,1076550,979418,605816,1194690,1508306,1332443,1099666,1268268,1306753,895115,1287205,1735341,2003862,2252020,2565084,1579416,722379,1460736,930504
 "42000","Pennsylvania",2,CAINC4,20,"...","Population (persons) 3/","Number of persons",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060
 "42000","Pennsylvania",2,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3862,4135,4362,4753,5219,5743,6259,6838,7505,8283,9155,10034,11088,11859,12433,13455,14308,15031,15885,17150,18543,19566,20244,21250,21930,22616,23583,24743,25967,27327,28451,30393,31551,32066,33043,34868,36301,38032,40219,41512,40390,42047,44210,46019,46411,48431,50378,51614,53144,56225
 "42000","Pennsylvania",2,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",38436880,40518691,42410893,46349756,51119285,55468407,58846636,64245467,70701225,78472312,86595068,91820100,98824648,101160396,105242230,114855224,121615883,128098226,138139838,150812088,161088577,170011240,174840776,186564505,193773307,201208862,208258794,217005925,228564468,242081729,256072351,272672491,284766797,291631040,301827246,322209692,334764226,346781964,363056377,369777165,359223438,375547689,392459733,406814955,422098081,436521302,452597943,459603403,473780120,495808236
 "42000","Pennsylvania",2,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",2808608,2927585,3186387,3653555,4627117,5221801,5400222,6000335,6594781,7508284,8576034,9174588,10559221,10979573,11570469,13094861,14060444,14907990,15896180,17714604,18644742,19839386,20662218,21888879,23105320,24455796,25289772,25752041,26960467,28148322,29402116,30863838,31934185,32820821,33631351,35353277,37148929,39022525,40565734,41793953,41263189,42359403,39418718,40325373,46661308,48217456,50106655,51043807,53509717,55033032
 "42000","Pennsylvania",2,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",1276040,1336917,1451636,1624607,2039715,2305509,2401504,2591855,2821927,3170380,3659208,3991653,4660655,4899248,5117179,5683087,6355595,6830838,7405261,8358899,8992745,9622765,10108742,10675731,11246978,11898209,12407204,12684294,13344085,14002894,14768937,15483011,16110140,16692197,17084206,18099995,18908791,20013484,21029489,21754354,21557256,22063561,18164199,18477721,24141079,25018429,26008388,26600201,27954194,29219260
 "42000","Pennsylvania",2,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",1532568,1590668,1734751,2028948,2587402,2916292,2998718,3408480,3772854,4337904,4916826,5182935,5898566,6080325,6453290,7411774,7704849,8077152,8490919,9355705,9651997,10216621,10553476,11213148,11858342,12557587,12882568,13067747,13616382,14145428,14633179,15380827,15824045,16128624,16547145,17253282,18240138,19009041,19536245,20039599,19705933,20295842,21254519,21847652,22520229,23199027,24098267,24443606,25555523,25813772
 "42000","Pennsylvania",2,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-436371,-404633,-373133,-373084,-341896,-348254,-361217,-336926,-320733,-319854,-359872,-379719,-333200,-162200,-23419,144526,280081,398772,528148,778888,971281,1038896,1052501,1225929,1339631,1652085,2166834,2433363,2872631,3270718,3556364,4055982,4317204,4590811,5080124,5868747,6891906,7340587,8225141,8575934,7331566,8002837,7866847,8228688,8151906,8970890,8874296,9571923,9956127,10271505
 "42000","Pennsylvania",2,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",35191901,37186473,38851373,42323117,46150272,49898352,53085197,57908206,63785711,70644174,77659162,82265793,87932227,90018623,93648342,101904889,107835520,113589008,122771806,133876372,143415116,151210750,155231059,165901555,172007618,178405151,185135856,193687247,204476632,217204125,230226599,245864635,257149816,263401030,273276019,292725162,304507203,315100026,330715784,336559146,325291815,341191123,360907862,374718270,383588679,397274736,411365584,418131519,430226530,451046709
 "42000","Pennsylvania",2,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",6161947,6743251,7209208,7729858,8578128,9695394,10559964,11344850,12605788,13905790,15595345,19111971,23613300,27624094,28844276,32221245,34578864,36099602,36792896,39734274,45188255,47394926,47727930,47995135,49410441,51303775,55087300,58285927,61542753,65206270,64114961,69578798,69023193,66361099,67335270,69185209,71342213,80799218,89220877,91948112,82796984,82297157,91021021,101189136,96069763,104971964,109953855,112395187,119411736,129712621
