GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "45000","South Carolina",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",7604376,8380439,9180919,10308853,11692290,13234649,14394289,16096281,17592494,19879133,22283472,24966939,28120355,29894431,32447264,36183178,38709682,41372177,44371556,48237217,52509247,56399794,58892827,62693521,65907989,69909223,74092106,78791906,83865349,89936146,94554173,101217425,104660767,107536385,111169886,117509600,124566561,134622602,143383709,149285850,145622107,150462929,159187413,167797548,170227163,181483030,193225799,200333267,211298966,222188816
 "45000","South Carolina",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",7417571,8193137,8978263,10096587,11392186,12895194,14121207,15867161,17409896,19638370,22029250,24936175,27954091,29703902,32400661,35917772,38517533,41285263,44126497,47894648,52148401,56106065,58500441,62322264,65577907,69426757,73716489,78336862,83402685,89612408,94158790,100699631,104021768,107316502,110654148,116876166,123933475,134167430,143091902,148860073,145145701,149990336,158834767,167337702,169502975,181260499,193099155,200183285,211066978,222083196
 "45000","South Carolina",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",186805,187302,202656,212266,300104,339455,273082,229120,182598,240763,254222,30764,166264,190529,46603,265406,192149,86914,245059,342569,360846,293729,392386,371257,330082,482466,375617,455044,462664,323738,395383,517794,638999,219883,515738,633434,633086,455172,291807,425777,476406,472593,352646,459846,724188,222531,126644,149982,231988,105620
 "45000","South Carolina",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",2570000,2598210,2661836,2718404,2775442,2843199,2900158,2941407,2988979,3041068,3086885,3134502,3179255,3207611,3234068,3271864,3303211,3342759,3380507,3412097,3456777,3501155,3570404,3620464,3663314,3705397,3748582,3796200,3859696,3919235,3974682,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127
 "45000","South Carolina",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",2959,3225,3449,3792,4213,4655,4963,5472,5886,6537,7219,7965,8845,9320,10033,11059,11719,12377,13126,14137,15190,16109,16495,17316,17991,18867,19765,20755,21728,22947,23789,25152,25747,26179,26786,27906,29171,30892,32264,32962,31727,32458,34077,35572,35731,37622,39496,40404,42081,43702
 "45000","South Carolina",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",6447908,6942250,7564412,8524777,9707960,10848679,11316873,12843726,14087803,15992600,17885280,19488014,21600572,22406360,24408184,27455282,29233430,31328841,33985234,37218635,39824982,42861853,44199844,46889113,49203487,51749066,54431211,57240948,60813625,65335985,69550347,73814311,75459907,77336427,80545744,84509269,88706192,94347282,99022347,100597038,96258294,99174229,103938327,110349625,113709376,119785112,126946365,131185265,138899874,144658744
 "45000","South Carolina",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",416658,448797,509407,599659,773251,898149,927583,1088867,1199178,1388996,1608122,1773764,2091176,2195836,2469826,2849921,3096372,3425294,3665138,4150738,4513388,4973794,5191871,5480184,5823798,6195331,6554573,6771413,7187058,7734179,8168801,8622674,8877254,9137510,9523945,10010483,10494482,11431896,11953274,12281593,11923305,12135921,11405627,11739040,13580884,14248976,15005334,15573012,16438596,17198549
 "45000","South Carolina",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",201954,216763,243266,283049,369136,429346,441909,505137,555147,642151,748550,834918,995999,1062678,1177980,1333735,1496934,1672935,1797136,2048403,2266112,2487146,2610922,2748238,2916839,3133868,3350774,3472573,3689831,3951755,4191727,4399881,4563751,4701350,4876424,5167419,5470528,5954409,6294400,6460325,6299242,6435680,5282790,5481870,7174912,7562219,7990702,8418705,8949394,9472566
 "45000","South Carolina",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",214704,232034,266141,316610,404115,468803,485674,583730,644031,746845,859572,938846,1095177,1133158,1291846,1516186,1599438,1752359,1868002,2102335,2247276,2486648,2580949,2731946,2906959,3061463,3203799,3298840,3497227,3782424,3977074,4222793,4313503,4436160,4647521,4843064,5023954,5477487,5658874,5821268,5624063,5700241,6122837,6257170,6405972,6686757,7014632,7154307,7489202,7725983
 "45000","South Carolina",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",127535,127640,138073,154370,166624,180154,191109,225047,246522,264385,286201,317637,347454,380455,391969,424767,476954,542691,585573,610279,571202,507361,494284,503538,519817,636271,767316,877810,1036031,1115429,1203377,1429211,1519430,1556966,1591486,1674751,1869303,2142503,2514745,2598307,2585492,2527121,2563482,2852714,2955960,3112097,3445192,3884752,3926981,4313800
 "45000","South Carolina",5,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",6158785,6621093,7193078,8079488,9101333,10130684,10580399,11979906,13135147,14867989,16563359,18031887,19856850,20590979,22330327,25030128,26614012,28446238,30905669,33678176,35882796,38395420,39502257,41912467,43899506,46190006,48643954,51347345,54662598,58717235,62584923,66620848,68102083,69755883,72613285,76173537,80081013,85057889,89583818,90913752,86920481,89565429,95096182,101463299,103084452,108648233,115386223,119497005,126388259,131773995
 "45000","South Carolina",5,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",908912,1090331,1209059,1353121,1546986,1785802,1999904,2189287,2444246,2801350,3170776,3832561,4679248,5368094,5920760,6728356,7301440,7867859,8266504,9010082,10203953,10888259,11231817,11604418,12173629,13031717,14018697,15141322,16314841,17671276,17595054,19144849,19313537,19055039,18874726,20049510,21600707,24806966,27446118,27989298,25124005,24540403,27342770,29417679,29216660,32515056,34972638,36588941,39282537,42283954
 "45000","South Carolina",5,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",536679,669015,778782,876244,1043971,1318163,1813986,1927088,2013101,2209794,2549337,3102491,3584257,3935358,4196177,4424694,4794230,5058080,5199383,5548959,6422498,7116115,8158753,9176636,9834854,10687500,11429455,12303239,12887910,13547635,14374196,15451728,17245147,18725463,19681875,21286553,22884841,24757747,26353773,30382800,33577621,36357097,36748461,36916570,37926051,40319741,42866938,44247321,45628170,48130867
 "45000","South Carolina",5,CAINC4,50,"...","Wages and salaries","Thousands of dollars",5122946,5533307,5974829,6695654,7610875,8510280,8796228,9958586,10985475,12421271,13895983,15351844,16923420,17591724,19064708,21231978,22617230,24182776,26094988,28426998,30563383,32812381,33618124,35314052,36915361,38814531,41010185,42910018,45811428,49200667,52302192,55252238,56519421,57693395,59693464,62832932,65939349,70159090,73797913,75235600,72109546,73323840,75894639,79010444,81454801,85484329,90499335,94319137,99066244,103149794
 "45000","South Carolina",5,CAINC4,60,"...","Supplements to wages and salaries","Thousands of dollars",669173,737386,840211,976479,1109057,1274929,1468060,1689105,1892966,2136409,2449058,2740292,3131271,3380345,3777505,4221680,4559208,4981301,5369120,5930969,6552501,7135271,7494331,8257438,8678411,9026306,9141634,9340223,9806983,10656352,11316375,12251081,12523254,13069314,14204950,14813601,15805153,16829037,18036411,19148366,18339574,18229064,19673724,19395595,20597783,21771078,22820953,22904858,24757704,26006796
 "45000","South Carolina",5,CAINC4,61,"..."," Employer contributions for employee pension and insurance funds 8/","Thousands of dollars",454469,505352,574070,659869,704942,806126,982386,1105375,1248935,1389564,1589486,1801446,2036094,2247187,2485659,2705494,2959770,3228942,3501118,3828634,4305225,4648623,4913382,5525492,5771452,5964843,5937835,6041383,6309756,6873928,7339301,8028288,8209751,8633154,9557429,9970537,10781199,11351550,12377537,13327098,12715511,12528823,13550887,13138425,14191811,15084321,15806321,15750551,17268502,18280813
 "45000","South Carolina",5,CAINC4,62,"..."," Employer contributions for government social insurance","Thousands of dollars",214704,232034,266141,316610,404115,468803,485674,583730,644031,746845,859572,938846,1095177,1133158,1291846,1516186,1599438,1752359,1868002,2102335,2247276,2486648,2580949,2731946,2906959,3061463,3203799,3298840,3497227,3782424,3977074,4222793,4313503,4436160,4647521,4843064,5023954,5477487,5658874,5821268,5624063,5700241,6122837,6257170,6405972,6686757,7014632,7154307,7489202,7725983
 "45000","South Carolina",5,CAINC4,70,"...","Proprietors' income 9/","Thousands of dollars",655789,671557,749372,852644,988028,1063470,1052585,1196035,1209362,1434920,1540239,1395878,1545881,1434291,1565971,2001624,2056992,2164764,2521126,2860668,2709098,2914201,3087389,3317623,3609715,3908229,4279392,4990707,5195214,5478966,5931780,6310992,6417232,6573718,6647330,6862736,6961690,7359155,7188023,6213072,5809174,7621325,8369964,11943586,11656792,12529705,13626077,13961270,15075926,15502154
