GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "46000","South Dakota",4,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",2076428,2257360,2473054,2855440,3605287,3612015,3972044,3932814,4462560,5142463,5664877,5712803,6651833,7010243,7270580,8272263,8480553,8847482,9335729,9747500,10492389,11484576,11966633,12941824,13530952,14587928,14883534,16444959,16805793,18150084,19005861,20280897,20948101,20939789,22890649,24579004,26112459,27544617,30604699,32691303,31794583,33596158,36741854,37659439,38108601,39872234,41547937,41959886,43274567,46066435
 "46000","South Dakota",4,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",1719919,1885013,2070343,2292314,2580028,2925813,3267012,3658203,4020681,4529136,5016182,5579292,6210678,6640494,7018510,7587461,7872767,8188631,8497432,9037530,9773425,10468158,11076956,11872355,12591486,13383916,14249838,14988779,15766116,16989800,17847961,18946183,19804103,20442981,21403045,22731782,24553951,26921024,28844075,30449436,30028606,31906506,33107536,35173165,34721098,37578823,39955679,40950764,42335706,44619106
 "46000","South Dakota",4,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",356509,372347,402711,563126,1025259,686202,705032,274611,441879,613327,648695,133511,441155,369749,252070,684802,607786,658851,838297,709970,718964,1016418,889677,1069469,939466,1204012,633696,1456180,1039677,1160284,1157900,1334714,1143998,496808,1487604,1847222,1558508,623593,1760624,2241867,1765977,1689652,3634318,2486274,3387503,2293411,1592258,1009122,938861,1447329
 "46000","South Dakota",4,CAINC4,20,"...","Population (persons) 3/","Number of persons",668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816165,823484,833496,842270,849088,853933,862890,873286,882235
 "46000","South Dakota",4,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3108,3386,3684,4215,5310,5313,5829,5726,6477,7460,8222,8269,9646,10151,10491,11864,12143,12711,13413,13962,15060,16475,17006,18156,18737,19962,20169,22157,22582,24328,25327,26832,27637,27552,29972,31904,33672,35177,38661,40909,39395,41163,44618,45183,45245,46959,48655,48627,49554,52216
 "46000","South Dakota",4,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",1644894,1761594,1921442,2248174,2923737,2802919,3022130,2900837,3311895,3874054,4241565,3937930,4486180,4540353,4735545,5562642,5689680,5984995,6489224,6826283,7272530,8157261,8533141,9362660,9802623,10724929,10623303,11907633,12070283,13131755,13834836,14674234,14921574,14925146,16572195,17980681,18899970,19480463,21510188,22655888,22159526,23556531,25856056,26079584,27205101,27994420,28818618,28651809,29465963,31188269
 "46000","South Dakota",4,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",89609,95455,106383,121081,158103,183198,200384,224598,237574,274402,322079,341848,388087,407801,440472,491235,529535,573922,618159,691582,750314,851322,916344,976305,1034719,1117340,1171370,1224403,1292030,1385188,1481896,1567511,1617184,1677458,1753910,1847355,1937412,2081327,2214162,2321764,2317618,2427065,2225056,2328351,2684596,2842597,2947171,3030460,3131333,3258565
 "46000","South Dakota",4,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",53291,56213,61052,68529,90693,104603,114118,122871,125191,143866,172383,184170,208129,220719,236208,260313,288802,314032,345339,386995,426320,477650,512621,542154,570847,617803,644488,671764,708562,763451,814885,858558,878499,910913,959185,1010166,1067597,1147660,1224697,1279895,1277481,1310840,1096755,1145649,1474394,1566838,1635751,1674385,1733861,1822352
 "46000","South Dakota",4,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",36318,39242,45331,52552,67410,78595,86266,101727,112383,130536,149696,157678,179958,187082,204264,230922,240733,259890,272820,304587,323994,373672,403723,434151,463872,499537,526882,552639,583468,621737,667011,708953,738685,766545,794725,837189,869815,933667,989465,1041869,1040137,1116225,1128301,1182702,1210202,1275759,1311420,1356075,1397472,1436213
 "46000","South Dakota",4,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",6019,6140,6362,7052,7262,8064,10361,11822,12556,14399,15004,16132,12915,10302,3812,-2155,-4949,-11495,-19164,-26681,-37207,-54239,-67743,-84978,-100368,-130420,-149905,-188788,-185654,-232595,-249329,-267140,-264747,-236732,-225216,-220982,-171335,-141308,-139451,-103518,-68843,-71299,-113017,-72008,-38565,-21501,-21230,-57025,-124375,-112928
