GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "48000","Texas",6,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",38574952,42497001,46116225,51173430,58113014,65532274,74746690,84227582,93978608,108293275,124677522,143140318,168292411,185542644,198083650,216833934,233561973,238934147,243559445,258240426,275917143,297726251,311370378,336646045,356399215,376613598,402805264,433164880,472178352,514063952,541440219,589275374,625492927,633035683,655908038,687220241,745858720,820949930,873354038,954649795,910498605,966149670,1057757511,1132222114,1159745579,1248733047,1280251017,1274394916,1357465627,1445270436
 "48000","Texas",6,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",37660837,41342238,45115566,49931876,55988632,64399686,73459726,82969646,92735717,107301407,122976579,142558789,166368080,184214881,196366824,215234443,232091153,237686735,241509786,255960849,273712941,294721681,308641680,333310736,352448671,373209965,400069566,430794040,469160149,511264054,537205291,585967072,621541515,629091063,650666511,681936180,740920248,817722137,869828049,953544079,909698506,962990047,1055113641,1129749605,1154679409,1244421530,1274255285,1272302850,1354965032,1443480032
 "48000","Texas",6,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",914115,1154763,1000659,1241554,2124382,1132588,1286964,1257936,1242891,991868,1700943,581529,1924331,1327763,1716826,1599491,1470820,1247412,2049659,2279577,2204202,3004570,2728698,3335309,3950544,3403633,2735698,2370840,3018203,2799898,4234928,3308302,3951412,3944620,5241527,5284061,4938472,3227793,3525989,1105716,800099,3159623,2643870,2472509,5066170,4311517,5995732,2092066,2500595,1790404
 "48000","Texas",6,CAINC4,20,"...","Population (persons) 3/","Number of persons",11045000,11236772,11509640,11758760,12018970,12267865,12568182,12903268,13191790,13497726,13887312,14338208,14746318,15331408,15751674,16007088,16272722,16561103,16621767,16667040,16806729,17056755,17398005,17759738,18161612,18564062,18958751,19340342,19740317,20157531,20558220,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845
 "48000","Texas",6,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3493,3782,4007,4352,4835,5342,5947,6528,7124,8023,8978,9983,11413,12102,12575,13546,14353,14427,14653,15494,16417,17455,17897,18956,19624,20287,21246,22397,23919,25502,26337,28135,29339,29185,29772,30688,32745,35144,36646,39271,36711,38274,41244,43397,43781,46289,46577,45616,47929,50355
 "48000","Texas",6,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",32375758,35027421,37692181,41929379,47768496,53272384,60158825,68768312,77583471,89913545,103943371,117744426,137809695,148463454,155493408,169959056,181698131,184443191,188456297,200895762,212989260,231007891,242726224,262040325,278897640,294340236,312776570,337172293,371889772,409826731,437476646,476392598,508673770,512835903,527970854,553950281,591755573,649078210,680203590,725419557,688282491,730851109,790779249,848490032,888537042,952389280,963518170,957742386,1025066782,1088927753
 "48000","Texas",6,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",2012043,2149000,2399309,2782640,3608255,4248908,4720816,5513395,6290150,7500891,9046503,10466423,13077673,14469860,15034877,16887368,18294520,18420100,18487094,20384775,21806091,23239484,25080798,26705205,28325493,30353046,32364691,34406375,37474256,40840384,43359862,46650055,49028237,49635751,51831794,54535196,58075232,62119572,66491807,69842857,69360826,72174368,67989236,72069483,85197008,90377090,94437350,96902483,102654652,107360960
 "48000","Texas",6,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",1017402,1086601,1206157,1372398,1789465,2111097,2338673,2649839,3012638,3559702,4330074,5082598,6410432,7108699,7316452,8044937,9007138,9159931,9261661,10269548,11183368,11930149,12941824,13757072,14616384,15724677,16872382,17911343,19504289,21230023,22608868,24285563,25549897,25987803,26386925,27871030,29893256,32395036,34886813,37154170,36880826,37817769,31408014,33141925,44751777,47645292,49724192,51213020,54560347,57994885
 "48000","Texas",6,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",994641,1062399,1193152,1410242,1818790,2137811,2382143,2863556,3277512,3941189,4716429,5383825,6667241,7361161,7718425,8842431,9287382,9260169,9225433,10115227,10622723,11309335,12138974,12948133,13709109,14628369,15492309,16495032,17969967,19610361,20750994,22364492,23478340,23647948,25444869,26664166,28181976,29724536,31604994,32688687,32480000,34356599,36581222,38927558,40445231,42731798,44713158,45689463,48094305,49366075
 "48000","Texas",6,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-78897,-96257,-101099,-126408,-153606,-130742,-127041,-90947,-303141,-423525,-441635,-546004,-334322,-404967,-387547,-445068,-473650,-434779,-430986,-436674,-445729,-484470,-562837,-585802,-606522,-671270,-752645,-823069,-962927,-1058403,-1082765,-1180108,-1184953,-1134783,-1059545,-977475,-947660,-1033813,-1121288,-1190061,-1395910,-1527471,-1839812,-2207927,-2373332,-2439971,-2455587,-2140809,-1966083,-2087373
