GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "00000","United States", ,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",791229000,855525000,924613000,1016408000,1133468000,1244912000,1362505000,1495704000,1651632000,1855849000,2073257000,2313160000,2592915000,2779794000,2968676000,3279488000,3510471000,3719647000,3946593000,4267813000,4609667000,4897821000,5067291000,5409920000,5648732000,5940128000,6286143000,6673186000,7086935000,7601594000,8001563000,8650325000,9001839000,9155663000,9480901000,10028781000,10593946000,11372589000,12002204000,12438527000,12051307000,12541995000,13315478000,13998383000,14175503000,14982715000,15709242000,16111636000,16870106000,17813035000
 "00000","United States", ,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",773954000,838026000,906654000,994658000,1098848000,1215117000,1333718000,1470925000,1627614000,1827952000,2043554000,2292914000,2565942000,2755484000,2951672000,3247848000,3478741000,3686749000,3907573000,4229206000,4564257000,4851121000,5025786000,5360248000,5602236000,5890240000,6247522000,6618975000,7036784000,7553794000,7953376000,8599065000,8948150000,9113726000,9423094000,9954130000,10523164000,11318378000,11935932000,12371202000,11995610000,12476195000,13223980000,13907481000,14052469000,14881551000,15624185000,16045775000,16799854000,17748708000
 "00000","United States", ,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",17275000,17499000,17959000,21750000,34620000,29795000,28787000,24779000,24018000,27897000,29703000,20246000,26973000,24310000,17004000,31640000,31730000,32898000,39020000,38607000,45410000,46700000,41505000,49672000,46496000,49888000,38621000,54211000,50151000,47800000,48187000,51260000,53689000,41937000,57807000,74651000,70782000,54211000,66272000,67325000,55697000,65800000,91498000,90902000,123034000,101164000,85057000,65861000,70252000,64327000
 "00000","United States", ,CAINC4,20,"...","Population (persons) 3/","Number of persons",201298000,203798722,206817509,209274882,211349205,213333635,215456585,217553859,219760875,222098244,224568579,227224719,229465744,231664432,233792014,235824907,237923734,240132831,242288936,244499004,246819222,249622814,252980941,256514224,259918588,263125821,266278393,269394284,272646925,275854104,279040168,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434
 "00000","United States", ,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3931,4198,4471,4857,5363,5836,6324,6875,7516,8356,9232,10180,11300,11999,12698,13906,14755,15490,16289,17455,18676,19621,20030,21090,21733,22575,23607,24771,25993,27557,28675,30657,31589,31832,32681,34251,35849,38114,39844,40904,39284,40546,42735,44599,44851,47058,48978,49870,51885,54446
 "00000","United States", ,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",653665000,693352000,742094000,819646000,918964000,993909000,1059492000,1173271000,1303767000,1476080000,1648363000,1784597000,1961173000,2053729000,2188018000,2432402000,2615791000,2786901000,2996000000,3259979000,3467027000,3679460000,3789428000,4059023000,4237437000,4456948000,4674849000,4956180000,5288047000,5707014000,6098042000,6598743000,6865291000,7001130000,7243665000,7675133000,8039648000,8519777000,8866784000,9013458000,8688446000,9023198000,9443528000,9901882000,10231478000,10687445000,11111139000,11374304000,11921152000,12510655000
 "00000","United States", ,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",43791000,46012000,50859000,58897000,75183000,84872000,88974000,100987000,112699000,130827000,152273000,165670000,195066000,208173000,225143000,256550000,280379000,302389000,322006000,360285000,384001000,408676000,428555000,453768000,476331000,507188000,531874000,554150000,586295000,623685000,660310000,704849000,732117000,750339000,777956000,827824000,871945000,921128000,960003000,986875000,962827000,982045000,915062000,948953000,1102460000,1151698000,1202880000,1238005000,1297615000,1354390000
 "00000","United States", ,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",21204000,22345000,24570000,27892000,35555000,40331000,42417000,46761000,51791000,59514000,69923000,76989000,91774000,98766000,105664000,117980000,133139000,145042000,156297000,176231000,190905000,202921000,214228000,225945000,237197000,253543000,268215000,279807000,297173000,316929000,337457000,360123000,374669000,384873000,396099000,419781000,444590000,474527000,499026000,516191000,505515000,513895000,423231000,436562000,577062000,606203000,634571000,657762000,692952000,732630000
 "00000","United States", ,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",22587000,23667000,26289000,31005000,39628000,44541000,46557000,54226000,60908000,71313000,82350000,88681000,103292000,109407000,119479000,138570000,147240000,157347000,165709000,184054000,193096000,205755000,214327000,227823000,239134000,253645000,263659000,274343000,289122000,306756000,322853000,344726000,357448000,365466000,381857000,408043000,427355000,446601000,460977000,470684000,457312000,468150000,491831000,512391000,525398000,545495000,568309000,580243000,604663000,621760000
 "00000","United States", ,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-107000,-112000,-122000,-145000,-153000,-163000,-199000,-211000,-235000,-257000,-231000,-255000,-208000,-255000,-212000,-254000,-257000,228000,259000,226000,236000,313000,367000,478000,493000,533000,703000,675000,672000,755000,2515000,2587000,2692000,2657000,2679000,2659000,2614000,2617000,2596000,2649000,3019000,3068000,3201000,3411000,3651000,3438000,3403000,3062000,2758000,3185000
