GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "49000","Utah",7,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",3406875,3791439,4243112,4741413,5282895,5910411,6590527,7463623,8440469,9711665,10972424,12319288,13892687,15066940,16135197,17820360,19069875,20041877,20994591,22330039,23967442,25984871,27864000,30125548,32491283,35156842,38308316,41738865,45125191,48266440,50851413,54465472,56933165,58604849,60748737,64803364,70861585,79063009,86045989,90161765,86695561,89242385,96245269,103120617,106427246,113140896,121884897,128929427,136543686,146422529
 "49000","Utah",7,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",3333864,3714596,4166981,4653994,5153943,5815251,6524646,7391187,8378689,9642141,10892238,12261438,13852983,15023570,16101411,17766254,19015800,19957374,20867269,22124867,23766348,25737217,27635807,29851587,32196655,34945204,38150206,41573112,44935108,48041998,50622124,54267625,56625806,58413028,60544846,64507880,70603852,78926425,85875209,89991638,86605676,89042922,95897340,102807068,105914358,112543992,121297043,128603708,136233939,146182430
 "49000","Utah",7,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",73011,76843,76131,87419,128952,95160,65881,72436,61780,69524,80186,57850,39704,43370,33786,54106,54075,84503,127322,205172,201094,247654,228193,273961,294628,211638,158110,165753,190083,224442,229289,197847,307359,191821,203891,295484,257733,136584,170780,170127,89885,199463,347929,313549,512888,596904,587854,325719,309747,240099
 "49000","Utah",7,CAINC4,20,"...","Population (persons) 3/","Number of persons",1047000,1065672,1100733,1134601,1168784,1198793,1233935,1272365,1316421,1364235,1416094,1472595,1515472,1558314,1594943,1622342,1642910,1662833,1678120,1689372,1705865,1731223,1779780,1836799,1898404,1960446,2014177,2067976,2119784,2165960,2203482,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2775334,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105
 "49000","Utah",7,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3254,3558,3855,4179,4520,4930,5341,5866,6412,7119,7748,8366,9167,9669,10116,10984,11607,12053,12511,13218,14050,15010,15656,16401,17115,17933,19019,20183,21288,22284,23078,24266,24930,25208,25739,26984,28832,31306,33123,33857,31833,32156,34200,36139,36725,38517,40867,42375,44002,46320
 "49000","Utah",7,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",2824888,3101325,3440027,3852021,4327870,4820476,5299370,6066047,6905851,7951678,8992968,9911184,11067375,11770775,12514990,13927640,14901149,15604262,16312530,17515595,18740587,20532648,22137775,24105844,26063148,28307393,30583235,33164474,36028514,38657871,41176495,43743721,45587013,46607033,48158211,51876141,56032742,62659662,67274886,68550328,65579661,66942000,71059544,76464478,80397306,84821050,90414026,95573532,101002917,107919646
 "49000","Utah",7,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",174871,190397,217620,259531,337674,394780,432296,502031,575281,677647,809800,901648,1088487,1176233,1266652,1447832,1577794,1657865,1722548,1935684,2114798,2389860,2619407,2831650,3076954,3387688,3687387,3920277,4201560,4484349,4729934,5046092,5291643,5426809,5651106,6128272,6638718,7281619,7829310,8021946,7768344,7863091,7463861,7853910,9301952,9791145,10233232,10771176,11590363,12166632
 "49000","Utah",7,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",86322,93809,106282,125092,162706,189629,206763,234400,267553,310181,376419,421975,514247,559537,597096,669289,750477,794232,831580,939585,1034995,1165491,1277812,1379139,1497828,1649696,1809198,1944150,2100047,2232340,2381583,2531562,2636880,2699852,2771203,2978408,3221142,3574376,3914432,4013317,3928393,4006173,3270612,3440013,4668526,4943847,5207906,5506079,5945080,6309268
 "49000","Utah",7,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",88549,96588,111338,134439,174968,205151,225533,267631,307728,367466,433381,479673,574240,616696,669556,778543,827317,863633,890968,996099,1079803,1224369,1341595,1452511,1579126,1737992,1878189,1976127,2101513,2252009,2348351,2514530,2654763,2726957,2879903,3149864,3417576,3707243,3914878,4008629,3839951,3856918,4193249,4413897,4633426,4847298,5025326,5265097,5645283,5857364
 "49000","Utah",7,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",3731,2438,1952,4411,6885,9665,12826,15741,20597,25056,32959,49370,52902,53054,42898,38922,40517,35324,25475,24163,22053,16866,11497,6555,7126,6944,298,397,-148,-3824,-1320,4884,-216,-2433,956,1675,14979,19274,15625,33392,7019,946,-1393,16092,27227,33727,8944,-30295,-39055,-39909
