GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "51000","Virginia",5,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",17847652,19371643,21410967,23764172,26612710,29489590,32379775,35770824,39631200,44990392,50182027,56726477,63698177,68854776,74238986,82638234,89308410,96341470,104064166,113916609,123237031,129558196,135041489,143668598,150973300,158882771,167003323,175342358,186845541,200071837,214308714,232313651,244410663,251068345,266236494,285300601,305046863,326087091,343153129,355931394,349712085,365041354,387003902,405863910,403199068,421874511,442331375,450870212,468177329,492312666
 "51000","Virginia",5,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",17637318,19160751,21220391,23513006,26261793,29178211,32119209,35540296,39468758,44706986,50032962,56664727,63434621,68739383,74200199,82317103,89084823,96070899,103700436,113401274,122602410,128880119,134428414,143009903,150440231,158249193,166447890,174781324,186428939,199661535,213993422,231755475,243932978,250704801,265966966,284768035,304469519,325806892,342914303,355560444,349366044,364711096,386402299,405228040,402429523,421207185,441919213,450662990,467810651,492132722
 "51000","Virginia",5,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",210334,210892,190576,251166,350917,311379,260566,230528,162442,283406,149065,61750,263556,115393,38787,321131,223587,270571,363730,515335,634621,678077,613075,658695,533069,633578,555433,561034,416602,410302,315292,558176,477685,363544,269528,532566,577344,280199,238826,370950,346041,330258,601603,635870,769545,667326,412162,207222,366678,179944
 "51000","Virginia",5,CAINC4,20,"...","Population (persons) 3/","Number of persons",4614000,4659930,4752846,4828131,4906648,4978155,5056385,5132693,5205706,5284122,5324533,5368334,5444094,5492785,5564662,5643868,5715149,5811692,5932273,6036908,6120246,6216884,6301217,6414307,6509630,6593139,6670693,6750884,6829183,6900918,7000174,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685
 "51000","Virginia",5,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3868,4157,4505,4922,5424,5924,6404,6969,7613,8514,9425,10567,11700,12535,13341,14642,15627,16577,17542,18870,20136,20840,21431,22398,23192,24098,25035,25973,27360,28992,30615,32693,33954,34455,36139,38164,40259,42494,44272,45437,44122,45496,47775,49585,48855,50754,52892,53605,55306,57799
 "51000","Virginia",5,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",13888586,14888650,16361556,18247954,20494163,22487701,24107514,26730974,29632785,33472938,37101589,40839542,45398788,48645343,53078422,59515460,65054570,70915359,77743162,85293416,91220891,95102916,98530957,104802966,109727435,115317751,120285825,126802379,135741537,147511278,159419000,175309707,184666498,189147480,199921359,216831775,230660222,241783315,251532722,255774979,253295218,263968855,272111810,283272799,285865781,293728289,307460874,310744669,322649732,336991245
 "51000","Virginia",5,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",799195,869334,998864,1166417,1483483,1700629,1821518,2071376,2302362,2623688,3053517,3380304,4012663,4368940,4945443,5702218,6436234,7279121,7980665,9001533,9745892,10316847,10808125,11443548,12026553,12719410,13263806,13951624,14948277,16045277,17282326,18640973,19663981,20319500,21346451,23261822,24880811,26493647,27640240,28545971,28610383,29525340,27123130,27997694,32386328,33130823,34658501,35361851,36954962,38191137
 "51000","Virginia",5,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",399804,430167,486170,563642,727458,833712,882150,980230,1087342,1241396,1460131,1637369,1965610,2163126,2421469,2749775,3193745,3625050,4002665,4532597,4959104,5221484,5489507,5782177,6104023,6514979,6853455,7204350,7731647,8294384,8976267,9662257,10200996,10578618,11044781,11943454,12810602,13710106,14423064,14929856,14929484,15337139,12328968,12672802,16801339,17291151,18116122,18668465,19574083,20463628
 "51000","Virginia",5,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",399391,439167,512694,602775,756025,866917,939368,1091146,1215020,1382292,1593386,1742935,2047053,2205814,2523974,2952443,3242489,3654071,3978000,4468936,4786788,5095363,5318618,5661371,5922530,6204431,6410351,6747274,7216630,7750893,8306059,8978716,9462985,9740882,10301670,11318368,12070209,12783541,13217176,13616115,13680899,14188201,14794162,15324892,15584989,15839672,16542379,16693386,17380879,17727509
 "51000","Virginia",5,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",990605,909041,947033,1003047,1080948,1189052,1456914,1684105,1907324,2312728,2734435,3316990,3413189,3432793,3378316,3574783,3697835,3821084,3934677,4328077,4561839,5196148,5628802,6031633,6343846,6268999,6375507,5924885,6482241,6211405,7921652,6062516,6574707,8078647,8775344,9240646,9508370,10808535,11417185,13257987,13083855,14598242,16876250,16848375,16612456,18512415,18830636,19938248,20033886,20492023
