GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "50000","Vermont",1,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1515435,1663931,1802291,1989067,2183882,2364027,2591785,2876016,3120096,3573412,4015134,4505299,5069132,5502286,5907740,6496255,7040967,7574217,8217480,8976787,9917053,10298043,10499432,11241667,11680869,12247126,12890172,13585552,14333084,15410745,16394183,17745584,18821934,19226811,19983748,21147342,21726842,23108837,24319664,25530398,25164294,25939055,27455225,28395737,28768741,29886705,30998720,31678529,32460613,33928572
 "50000","Vermont",1,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",1458371,1602252,1741755,1921428,2112614,2305914,2531700,2799522,3055290,3480034,3911276,4398324,4947040,5380676,5825949,6413891,6941652,7476202,8095130,8857447,9796528,10185637,10397851,11067726,11556039,12121307,12793350,13441998,14226787,15278109,16251219,17598683,18676921,19116529,19841719,20957970,21532617,22991650,24104470,25309154,25045644,25752102,27196924,28147315,28480773,29543232,30793161,31496882,32248278,33782333
 "50000","Vermont",1,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",57064,61679,60536,67639,71268,58113,60085,76494,64806,93378,103858,106975,122092,121610,81791,82364,99315,98015,122350,119340,120525,112406,101581,173941,124830,125819,96822,143554,106297,132636,142964,146901,145013,110282,142029,189372,194225,117187,215194,221244,118650,186953,258301,248422,287968,343473,205559,181647,212335,146239
 "50000","Vermont",1,CAINC4,20,"...","Population (persons) 3/","Number of persons",437000,446323,454357,463214,468533,473138,479894,485144,492174,498284,505711,512524,515594,519108,523302,526658,530035,534066,540267,549763,557708,564798,568606,572751,577748,583836,589002,593701,597239,600416,604683,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625880,626979,626063,626212,625218,625197,623644,624525,626299
 "50000","Vermont",1,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3468,3728,3967,4294,4661,4996,5401,5928,6339,7171,7940,8790,9832,10600,11289,12335,13284,14182,15210,16328,17782,18233,18465,19627,20218,20977,21885,22883,23999,25667,27112,29109,30744,31241,32344,34113,34975,37099,39006,40904,40275,41444,43790,45356,45941,47802,49582,50796,51976,54173
 "50000","Vermont",1,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",1227584,1320775,1399716,1535665,1691241,1784368,1884015,2121519,2310209,2708931,3038824,3299425,3626776,3822058,4121902,4553227,5005704,5451937,6047853,6625639,7167531,7421189,7502931,8063944,8411612,8779568,9074376,9582795,10059895,10834640,11689580,12684504,13506631,13971295,14469288,15317204,15791446,16277784,16831673,17361758,17133318,17817857,18605396,19110941,19530518,19836343,20339754,20831378,21407506,22057433
 "50000","Vermont",1,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",83266,89336,97585,111002,140761,155100,162293,183968,203439,244031,283530,309047,364405,392084,430405,489498,548385,601835,655575,742075,798111,869903,890395,937309,986445,1043228,1099916,1144017,1197157,1266159,1343292,1434689,1522650,1552415,1620412,1709047,1795068,1884137,1991102,2054387,2032121,2065371,1930846,2005007,2326198,2427317,2524020,2582696,2699269,2753337
 "50000","Vermont",1,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",41401,44946,49052,54154,68473,75918,79809,87838,96397,114812,133828,148028,175623,191013,206718,229941,266762,295317,327754,374201,410863,447375,461969,483650,505367,535268,573119,595287,625234,659335,703714,749035,800736,825058,862799,914678,966939,1021605,1086376,1110198,1094693,1102905,911069,926197,1216167,1279204,1326665,1362755,1431054,1492145
 "50000","Vermont",1,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",41865,44390,48533,56848,72288,79182,82484,96130,107042,129219,149702,161019,188782,201071,223687,259557,281623,306518,327821,367874,387248,422528,428426,453659,481078,507960,526797,548730,571923,606824,639578,685654,721914,727357,757613,794369,828129,862532,904726,944189,937428,962466,1019777,1078810,1110031,1148113,1197355,1219941,1268215,1261192
 "50000","Vermont",1,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",-26682,-26357,-24019,-20736,-19465,-16279,-10486,-5006,-1377,-784,5936,14498,18166,23861,22637,28490,30226,34049,41988,47330,50992,51999,59613,68100,77833,92989,106064,122027,146413,174300,195548,226789,236785,234822,251074,237467,249710,281370,291302,285510,331562,330181,305269,312528,337688,370531,372043,345374,412712,427393
