GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "53000","Washington",8,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",14235772,15036667,15838561,17079016,19236035,21826702,24719584,27398764,30411983,35366608,40755502,46241935,51391260,54606379,58281463,62431081,66376252,70875837,75031208,81724088,90313168,99151181,106188886,114759017,120676876,126855369,134146303,144246155,155513933,170382379,181940505,194509940,199204080,202617990,210856483,226359648,235828131,257120021,278686861,292402755,279749663,287760329,304986858,329258611,336333907,363327071,385687900,407654064,434758590,467399039
 "53000","Washington",8,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",13842571,14695107,15452359,16577998,18487129,20944563,23826467,26661962,29825683,34631525,40035906,45399943,50547899,53856756,57234090,61428433,65645587,69836917,73971325,80733388,89196434,97993953,104969091,113285770,119003567,125493439,132759388,142384926,154045099,168734368,180551347,192886508,197743255,201068331,208749291,224322139,234057420,255428873,276532961,290395502,277693203,285441926,301936091,326133988,332967170,360285445,381101168,403843592,430742490,463871203
 "53000","Washington",8,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",393201,341560,386202,501018,748906,882139,893117,736802,586300,735083,719596,841992,843361,749623,1047373,1002648,730665,1038920,1059883,990700,1116734,1157228,1219795,1473247,1673309,1361930,1386915,1861229,1468834,1648011,1389158,1623432,1460825,1549659,2107192,2037509,1770711,1691148,2153900,2007253,2056460,2318403,3050767,3124623,3366737,3041626,4586732,3810472,4016100,3527836
 "53000","Washington",8,CAINC4,20,"...","Population (persons) 3/","Number of persons",3343000,3417362,3446958,3446815,3477227,3547877,3618824,3690561,3772360,3886191,4012831,4154678,4235728,4276551,4300269,4343657,4400096,4452724,4531903,4639894,4746315,4903043,5025624,5160757,5278842,5375161,5481027,5569753,5674747,5769562,5842564,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591
 "53000","Washington",8,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",4258,4400,4595,4955,5532,6152,6831,7424,8062,9101,10156,11130,12133,12769,13553,14373,15085,15917,16556,17613,19028,20222,21129,22237,22860,23600,24475,25898,27405,29531,31141,32909,33280,33478,34543,36636,37688,40359,43130,44558,41958,42676,44709,47768,48304,51518,53840,55884,58550,62026
 "53000","Washington",8,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",11684589,11831246,12254123,13319572,15158100,17064432,19018341,21322278,23909276,28178693,32521273,35850813,39163355,40424144,42690278,45595238,48337212,52215548,55899477,61412272,67129271,74602228,80050897,87402767,91302448,95244987,99389450,106532882,115626713,128638260,139694124,148773616,151171177,154082255,159192224,167586198,177030600,190045639,202951712,208009947,198666333,204073035,213737556,229958485,241117790,254008442,268004735,282232630,302968358,325562275
 "53000","Washington",8,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",908827,911359,978715,1114784,1434928,1656005,1837154,2136936,2456833,2973069,3561299,3898199,4585056,4812246,5113987,5647155,6086761,6584809,7024733,7929320,8669433,9822715,10637496,11580257,12079083,12803680,13403631,14014304,14810180,16245428,17001737,18407022,18148607,18542781,19320398,20549909,21864184,23187134,24437534,25047004,24818219,25467946,23940496,24700218,28901382,30392377,32072161,33581577,36150998,38087943
 "53000","Washington",8,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",374954,380858,408114,456489,589919,687177,765408,859618,964757,1152714,1386952,1543841,1841274,1956988,2058018,2216878,2496607,2743142,2950202,3371750,3777738,4297958,4670719,5030938,5172897,5516089,5832364,6189957,6770439,7368796,7847343,8400551,8318550,8579845,8832430,9296057,9953241,10820592,11591170,12067283,11882024,11983758,9814827,10239055,13812426,14530487,15402872,16305092,17652237,18812570
 "53000","Washington",8,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",533873,530501,570601,658295,845009,968828,1071746,1277318,1492076,1820355,2174347,2354358,2743782,2855258,3055969,3430277,3590154,3841667,4074531,4557570,4891695,5524757,5966777,6549319,6906186,7287591,7571267,7824347,8039741,8876632,9154394,10006471,9830057,9962936,10487968,11253852,11910943,12366542,12846364,12979721,12936195,13484188,14125669,14461163,15088956,15861890,16669289,17276485,18498761,19275373
 "53000","Washington",8,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",89185,63391,60936,71073,87215,130176,200099,248694,231530,271725,484229,577205,431047,467701,493775,543988,572083,616416,672368,756656,845370,918220,990244,1101109,1195883,1249854,1407309,1627109,1785610,1891989,1958446,2281047,2375974,2432446,2568234,2767428,3034985,3441882,3665107,3681602,3394079,3240932,3524946,3609326,3581822,3536791,3888465,4188051,4234626,4323935
 "53000","Washington",8,CAINC4,45,"...","Equals: Net earnings by place of residence","Thousands of dollars",10864947,10983278,11336344,12275861,13810387,15538603,17381286,19434036,21683973,25477349,29444203,32529819,35009346,36079599,38070066,40492071,42822534,46247155,49547112,54239608,59305208,65697733,70403645,76923619,80419248,83691161,87393128,94145687,102602143,114284821,124650833,132647641,135398544,137971920,142440060,149803717,158201401,170300387,182179285,186644545,177242193,181846021,193322006,208867593,215798230,227152856,239821039,252839104,271051986,291798267
 "53000","Washington",8,CAINC4,46,"...","Plus: Dividends, interest, and rent 7/","Thousands of dollars",2293883,2618338,2831220,3018697,3414672,3936376,4431040,4802754,5418333,6301716,7296189,8795618,10670235,12101396,13192834,14561020,15619100,16213043,16621805,17830224,20411674,21807502,22593084,23283553,24679988,26767864,29232103,31740940,33867347,36303815,36303933,39447399,38688583,37934394,40448575,48149346,47529706,54516847,61513597,65467194,57062899,55735585,61717094,70345193,69590430,80543803,88723691,93963998,100976980,109752033
 "53000","Washington",8,CAINC4,47,"...","Plus: Personal current transfer receipts","Thousands of dollars",1076942,1435051,1670997,1784458,2010976,2351723,2907258,3161974,3309677,3587543,4015110,4916498,5711679,6425384,7018563,7377990,7934618,8415639,8862291,9654256,10596286,11645946,13192157,14551845,15577640,16396344,17521072,18359528,19044443,19793743,20985739,22414900,25116953,26711676,27967848,28406585,30097024,32302787,34993979,40291016,45444571,50178723,49947758,50045825,50945247,55630412,57143170,60850962,62729624,65848739
 "53000","Washington",8,CAINC4,50,"...","Wages and salaries","Thousands of dollars",9015425,9177709,9395778,10049394,11276445,12614502,14022855,15773673,17809240,20890368,24323855,26948640,29709306,30719740,31689519,33487073,35569396,38104891,40853958,44376327,48532368,53781835,57338835,62165464,64059983,67208547,71124687,76726723,84753565,93722306,103080733,109279037,109689454,110407044,113059655,118023256,124549434,134860718,145294740,150208877,146272992,147847152,154774865,164083020,170544444,181592942,191665840,203353887,218086013,237156478
