GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "56000","Wyoming",7,CAINC4,10,"...","Personal income (thousands of dollars)","Thousands of dollars",1218567,1347928,1497541,1684506,1968637,2302703,2607391,2890363,3375638,4033706,4716087,5506325,6299803,6616850,6568094,6857149,7160432,7130593,6864334,7002612,7642563,8233322,8642355,9130739,9659908,10102484,10585368,11077737,11884975,12633137,13517842,14591262,15414179,15773651,16711990,17879703,19661137,22771033,24263403,26533662,24486651,25804875,28356579,30846087,30789593,33035339,33442367,31907982,32638592,34872688
 "56000","Wyoming",7,CAINC4,11,"..."," Nonfarm personal income 1/","Thousands of dollars",1149625,1270199,1410488,1559527,1817342,2193879,2542386,2844852,3333346,3971433,4622621,5423170,6251056,6589841,6533719,6845204,7145031,7093029,6807653,6945815,7555490,8083832,8432583,8913010,9416130,9985688,10488045,10998795,11705366,12538446,13356483,14472000,15228149,15676989,16536293,17704921,19440317,22679630,24227158,26442810,24409925,25697210,28001510,30723674,30562202,32678259,33161815,31762136,32476589,34730297
 "56000","Wyoming",7,CAINC4,12,"..."," Farm income 2/","Thousands of dollars",68942,77729,87053,124979,151295,108824,65005,45511,42292,62273,93466,83155,48747,27009,34375,11945,15401,37564,56681,56797,87073,149490,209772,217729,243778,116796,97323,78942,179609,94691,161359,119262,186030,96662,175697,174782,220820,91403,36245,90852,76726,107665,355069,122413,227391,357080,280552,145846,162003,142391
 "56000","Wyoming",7,CAINC4,20,"...","Population (persons) 3/","Number of persons",329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564483,567224,576270,582123,582548,585668,584290,578934,577737
 "56000","Wyoming",7,CAINC4,30,"...","Per capita personal income (dollars) 4/","Dollars",3704,4038,4404,4856,5571,6317,6853,7309,8203,9361,10437,11612,12812,13066,12870,13581,14330,14387,14392,15056,16673,18147,18818,19583,20419,21034,21818,22693,24282,25741,27488,29519,31161,31546,33195,35120,38240,43567,45363,48593,43738,45714,49992,53527,52892,56708,57101,54610,56377,60361
 "56000","Wyoming",7,CAINC4,35,"...","Earnings by place of work","Thousands of dollars",980672,1070032,1181243,1351718,1595588,1881969,2124992,2369397,2803955,3395755,4013502,4623421,5197409,5270734,5012007,5206765,5431677,5318647,5010367,5104487,5499884,5954978,6209148,6549361,6959118,7195050,7365424,7613703,8174479,8528389,9141509,9763725,10525807,10985834,11538825,12067174,13011818,15045089,16317402,18178847,17460871,18337971,19484218,20356559,21113081,22320078,22149157,20723099,21093736,22324932
 "56000","Wyoming",7,CAINC4,36,"...","Less: Contributions for government social insurance 5/","Thousands of dollars",65681,71326,80588,94971,127160,158378,181444,212613,249141,308504,380438,440505,541360,564987,522340,560205,599033,580894,549887,602167,627608,698729,744745,777030,817323,866362,891028,912627,956994,1006803,1055016,1121089,1202040,1227170,1303045,1397260,1509737,1914288,2116632,2249551,2180625,2217580,2101927,2215400,2496210,2653217,2607256,2510498,2553248,2668792
 "56000","Wyoming",7,CAINC4,37,"..."," Employee and self-employed contributions for government social insurance","Thousands of dollars",32736,35493,39578,46197,61406,74883,85700,98844,114534,142177,175217,205294,253783,264614,243591,253780,278678,273011,265392,293986,311900,346793,371557,391067,409964,435456,450123,462150,483206,513216,533615,567451,617778,637414,676405,725032,781238,887448,962438,1026314,1005031,1025097,845774,876693,1151777,1224861,1229145,1186588,1220119,1292156
 "56000","Wyoming",7,CAINC4,38,"..."," Employer contributions for government social insurance","Thousands of dollars",32945,35833,41010,48774,65754,83495,95744,113769,134607,166327,205221,235211,287577,300373,278749,306425,320355,307883,284495,308181,315708,351936,373188,385963,407359,430906,440905,450477,473788,493587,521401,553638,584262,589756,626640,672228,728499,1026840,1154194,1223237,1175594,1192483,1256153,1338707,1344433,1428356,1378111,1323910,1333129,1376636
 "56000","Wyoming",7,CAINC4,42,"...","Plus: Adjustment for residence 6/","Thousands of dollars",41,185,-781,-3050,-7026,-13523,-15974,-22209,-28812,-37583,-53829,-74105,-83094,-80134,-58466,-53326,-52227,-41668,-26520,-21972,-14583,-10590,-1004,-6124,-7916,-7471,-4958,443,5312,7786,6892,13763,-9196,-29389,-50000,-62627,-93317,-140719,-177322,-216315,-215647,-237675,-247374,-245671,-234543,-221694,-233833,-271605,-260313,-254485
