Area Type ,Area Name ,Date,Year ,Month,Seasonally Adjusted (Y/N) ,Status (Preliminary / Final) ,Labor Force,Employment ,Unemployment ,Unemployment Rate 
County,Alameda County,01/01/1990,1990,January,N,Final,676600,650600,26000,0.038
County,Alpine County,01/01/1990,1990,January,N,Final,600,580,20,0.025
County,Amador County,01/01/1990,1990,January,N,Final,11100,10350,760,0.068
County,Butte County,01/01/1990,1990,January,N,Final,76800,69400,7400,0.096
County,Calaveras County,01/01/1990,1990,January,N,Final,12980,11840,1130,0.087
County,Colusa County,01/01/1990,1990,January,N,Final,7090,5550,1540,0.217
County,Contra Costa County,01/01/1990,1990,January,N,Final,434800,418200,16600,0.038
County,Del Norte County,01/01/1990,1990,January,N,Final,9040,7490,1550,0.171
County,El Dorado County,01/01/1990,1990,January,N,Final,62900,59700,3100,0.05
County,Fresno County,01/01/1990,1990,January,N,Final,311000,272100,38900,0.125
County,Glenn County,01/01/1990,1990,January,N,Final,10850,9350,1500,0.138
County,Humboldt County,01/01/1990,1990,January,N,Final,55700,50100,5600,0.101
County,Imperial County,01/01/1990,1990,January,N,Final,48400,37900,10500,0.218
County,Inyo County,01/01/1990,1990,January,N,Final,6820,6340,480,0.071
County,Kern County,01/01/1990,1990,January,N,Final,246700,219200,27600,0.112
County,Kings County,01/01/1990,1990,January,N,Final,35500,31000,4500,0.127
County,Lake County,01/01/1990,1990,January,N,Final,18890,16860,2030,0.108
County,Lassen County,01/01/1990,1990,January,N,Final,9540,8200,1340,0.14
County,Los Angeles County,01/01/1990,1990,January,N,Final,4501000,4229700,271400,0.06
County,Los Angeles County,01/01/1990,1990,January,Y,Final,4510500,4254200,256200,0.057
County,Madera County,01/01/1990,1990,January,N,Final,38200,33700,4500,0.118
County,Marin County,01/01/1990,1990,January,N,Final,131900,128700,3200,0.024
County,Mariposa County,01/01/1990,1990,January,N,Final,5850,5310,540,0.092
County,Mendocino County,01/01/1990,1990,January,N,Final,37330,33470,3860,0.103
County,Merced County,01/01/1990,1990,January,N,Final,74100,63700,10400,0.14
County,Modoc County,01/01/1990,1990,January,N,Final,3700,3250,450,0.122
County,Mono County,01/01/1990,1990,January,N,Final,6730,6540,190,0.028
County,Monterey County,01/01/1990,1990,January,N,Final,166800,143700,23100,0.139
